# Accelerometer Data File
# Started @Sun Jan 24 21:03:22 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.118 4.946 8.301 0
-0.93 4.493 7.369 20
-0.895 3.903 6.505 20
-0.81 3.304 5.822 20
-0.746 2.747 5.08 20
-0.829 2.707 4.219 20
-0.819 2.255 3.577 21
-0.444 1.448 3.042 20
-0.717 1.559 2.87 20
-0.768 1.567 2.835 20
-0.57 1.341 2.534 20
-0.694 1.83 1.77 20
-0.633 1.826 1.138 21
-0.402 1.396 1.373 20
-0.381 1.114 1.906 20
-0.198 0.851 2.106 20
-0.086 0.936 1.358 20
-0.194 1.037 0.615 20
-0.459 0.711 1.193 21
-0.4 0.297 1.943 20
-0.118 0.459 1.175 20
-0.124 0.685 0.734 20
-0.144 0.694 0.542 20
-0.028 0.428 0.201 21
0.036 -0.051 0.72 20
-0.137 -0.464 1.98 20
-0.009 -0.235 1.687 20
0.481 0.62 -0.406 20
0.847 0.198 -0.281 20
1.141 -0.886 0.499 21
1.357 -1.47 0.052 20
1.486 -1.441 -0.83 20
1.655 -1.448 -1.372 20
0.644 -0.409 0.144 20
-0.743 1.138 1.227 20
-0.74 1.05 0.886 21
0.006 0.195 0.759 20
0.689 -0.602 0.769 20
0.357 -0.47 1.186 20
0.383 -0.559 1.977 20
0.367 -0.842 1.751 21
0.03 -0.704 -0.331 20
-0.313 -0.161 -1.1 20
-0.137 -0.498 -0.026 20
0.089 -1.104 1.636 20
-0.404 -1.211 1.134 20
-1.183 -0.693 0.912 21
-0.627 -0.71 1.399 20
-0.268 -0.424 1.707 20
0.271 -0.243 -0.071 20
2.311 -0.62 -0.982 20
2.916 0.506 -1.753 20
3.7 -0.093 -3.343 21
3.729 -1.645 -5.231 20
3.505 -2.992 -2.393 20
4.541 -2.468 -3.641 20
6.889 -2.254 -3.469 20
3.186 -1.097 1.012 21
-3.979 3.71 2.5 20
-4.762 5.083 -2.186 20
2.815 -0.61 -5.134 20
3.309 -0.686 -4.213 20
6.038 -0.062 -1.509 20
8.474 -6.025 -3.337 21
7.04 -7.02 -0.278 20
7.931 -7.499 1.325 20
7.298 -6.336 4.758 20
4.261 -2.955 6.507 20
3.179 -1.771 2.924 20
3.168 -1.909 1.912 21
1.281 -0.403 1.059 20
-1.392 1.251 1.906 20
-2.445 1.389 -1.417 20
-1.871 0.836 -8.713 20
-1.604 1.024 -10.429 21
-1.301 1.515 -9.94 20
-0.587 2.493 -5.328 20
-0.013 2.567 1.122 20
1.846 -0.14 -2.141 20
2.181 0.252 -0.366 20
1.946 0.716 0.702 21
0.746 2.223 -2.677 20
-1.712 3.708 -5.824 20
-2.608 3.348 4.712 20
0.776 1.428 7.89 20
5.646 -3.444 2.19 21
5.215 -4.606 3.342 20
3.072 -6.784 4.737 20
-2.18 -6.326 5.21 20
-3.844 -4.919 6.866 20
0.237 -8.903 3.394 20
5.314 -10.921 -0.914 21
10.009 -11.72 -4.819 20
10.179 -10.394 -5.758 20
7.41 -5.358 -2.442 20
4.994 -4.268 -18.79 20
-0.847 1.211 -39.225 20
0.614 1.7 -3.33 21
5.3 -3.803 15.593 20
-4.844 -0.173 4.759 20
-4.815 3.081 -3.242 20
-16.508 9.597 -5.919 20
-5.895 6.216 -0.936 21
5.87 0.189 -4.341 20
-0.123 1.408 -4.14 20
-1.449 0.254 2.428 20
-2.661 1.317 3.522 20
-2.082 1.321 -2.372 20
0.374 1.243 -2.689 21
3.051 0.804 3.068 20
-2.613 4.651 2.673 20
2.429 3.123 1.535 20
-1.243 3.132 -0.724 20
-2.345 0.439 -4.069 21
-1.643 -1.236 0.744 20
-7.625 2.623 3.718 20
-5.196 2.936 5.814 20
-3.603 4.238 0.572 20
-4.816 4.696 -0.185 20
2.969 1.242 2.111 21
14.027 -2.826 3.463 20
8.386 -2.455 2.276 20
-6.386 4.031 -0.943 20
-14.343 2.328 2.442 20
1.119 -7.401 -5.107 20
10.56 -10.772 -10.239 21
0.294 -8.126 -1.747 20
-3.611 -7.824 1.029 20
1.965 -8.106 -1.897 20
0.326 -5.342 -0.22 20
-7.769 -0.363 -1.784 20
-4.371 -4.155 3.561 21
-1.085 -7.388 -4.146 20
-3.189 -3.945 -6.54 20
-3.523 -1.589 0.024 20
-2.373 -1.363 2.255 20
-1.599 -0.261 1.982 21
-2.754 0.4 -0.845 20
-3.302 0.494 -3.738 20
-3.274 0.574 -3.959 20
-2.287 0.997 -0.362 20
-1.954 1.872 3.246 20
-3.027 4.418 1.729 21
-0.982 17.992 -1.761 20
-5.142 -3.015 -3.491 20
-4.74 -10.117 -12.757 20
3.432 -9.049 -5.66 20
1.953 -5.898 -6.558 20
-3.131 -1.673 -5.387 21
-4.579 0.123 -3.078 20
-2.541 -1.908 1.452 20
-0.616 -2.487 9.51 20
-3.767 -1.395 7.994 20
-5.563 -0.898 2.598 20
-7.227 1.237 3.973 21
-6.725 0.065 4.906 20
-2.674 -2.338 4.312 20
-0.099 -3.6 3.106 20
0.16 -2.457 2.086 20
0.182 -2.85 0.718 21
1.829 -3.291 -3.085 20
2.107 -4.156 -8.119 20
-0.841 -0.567 -5.61 20
-1.179 5.141 1.586 20
-2.197 7.583 5.329 20
-2.044 8.457 5.762 21
0.136 5.985 2.72 20
1.116 0.357 0.313 20
2.923 -5.906 -2.82 20
7.042 -7.165 -2.704 20
8.739 -5.925 -0.187 20
5.196 -5.897 -1.518 21
-1.309 -3.555 -4.296 20
-1.124 -1.252 -1.939 20
1.971 -0.659 1.542 20
2.944 0.52 1.705 20
1.641 2.012 0.532 21
-1.773 1.533 3.294 20
-3.457 -0.713 6.507 20
-2.669 -4.949 3.519 20
-2.911 -11.435 -6.331 20
-1.548 -16.878 -6.793 20
0.57 -11.441 -2.561 21
0.881 -1.932 -0.151 20
1.464 1.662 5.773 20
0.983 4.583 4.948 20
1.087 7.087 2.331 20
0.64 8.688 2.329 20
-0.848 10.514 2.6 21
-2.529 12.166 2.125 20
-3.714 13.405 0.964 20
-2.368 14.076 2.555 20
-1.105 13.423 4.149 20
-1.186 11.093 1.016 21
-0.889 8.218 -6.167 20
2.481 3.489 -11.302 20
-1.488 -1.994 -4.644 20
-5.036 -4.837 6.515 20
-2.713 -4.734 12.105 20
-0.786 -17.25 11.045 21
2.463 -22.713 7.936 20
