# Accelerometer Data File
# Started @Sun Jan 24 21:06:12 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-3.241 7.236 5.257 0
-1.986 5.152 4.587 20
-0.834 3.218 5.945 20
0.104 2.256 6.442 20
1.053 1.448 5.996 20
1.612 0.452 5.732 20
1.442 -0.634 5.733 21
1.554 -0.695 4.793 20
1.817 -0.29 4.085 20
0.676 1.403 3.646 20
-1.107 3.817 2.514 20
-0.569 2.687 0.372 20
0.194 0.935 0.371 21
0.558 -0.076 0.696 20
1.278 -0.971 1.416 20
0.303 0.073 3.669 20
1.004 -0.75 7.429 20
-0.598 0.059 6.998 20
-1.739 0.823 1.402 21
0.814 1.366 -2.128 20
1.802 1.54 -2.448 20
1.928 1.342 0.06 20
2.103 0.329 -2.711 20
0.418 1.3 -4.43 20
-0.327 1.338 0.904 21
0.284 0.019 4.353 20
0.681 -0.084 2.019 20
1.475 0.338 0.706 20
1.838 -0.297 1.515 20
1.943 -0.528 1.553 21
1.971 0.048 -1.009 20
3.833 -2.232 -0.417 20
4.504 -3.568 -0.284 20
2.318 -0.477 -1.056 20
0.275 1.736 -2.765 20
0.907 0.845 -1.432 21
1.487 2.838 -3.943 20
1.239 5.254 -5.517 20
2.484 2.995 -3.965 20
-2.325 2.553 1.693 20
-5.465 3.046 4.887 21
-1.611 -1.33 0.516 20
2.43 -7.087 0.697 20
4.25 -7.027 6.536 20
4.832 -6.26 5.978 20
3.171 -5.686 3.554 20
0.306 -3.504 0.424 21
-2.671 -0.623 -3.951 20
-1.503 -0.164 -4.953 20
2.187 -0.225 -5.95 20
6.536 -0.625 -4.723 20
7.383 0.264 -2.44 21
4.28 0.499 -4.291 20
0.788 0.557 -8.094 20
1.119 0.908 -11.976 20
4.668 -2.118 -11.128 20
13.937 -3.562 -7.891 20
15.422 0.788 1.982 21
-0.178 4.428 -4.53 20
-2.67 3.037 -7.613 20
-0.555 -0.946 -5.271 20
-1.446 -3.121 -5.328 20
0.125 -5.33 0.917 20
5.901 -5.676 7.433 21
6.589 -1.844 11.17 20
-11.601 2.847 -1.907 20
-9.9 0.1 2.459 20
3.939 -1.095 12.072 20
-2.267 1.366 7.262 20
-4.655 -0.869 2.276 21
-3.506 -1.309 3.165 20
-4.74 0.106 1.102 20
-5.516 0.952 3.551 20
-2.574 1.891 9.967 20
5.353 2.411 3.822 20
9.052 3.621 -14.037 21
-5.21 7.801 -12.987 20
-6.867 2.117 3.178 20
2.15 -3.866 10.184 20
4.339 -4.38 2.73 20
0.55 -1.944 -5.748 21
3.196 -4.785 -3.554 20
5.326 -5.492 -1.818 20
-1.807 -0.116 -12.114 20
3.139 -4.0 -4.304 20
1.055 -1.562 -1.467 20
4.423 -3.967 -6.727 21
13.863 -4.146 4.176 20
-2.56 2.893 1.316 20
-13.448 -12.886 -10.778 20
-6.273 -12.652 1.779 20
-0.575 2.135 -2.546 20
-2.6 5.974 -5.516 21
-6.232 7.38 -1.651 20
-2.004 -3.93 8.167 20
5.218 -12.514 1.139 20
2.063 -6.175 -0.084 20
-3.834 -4.387 0.398 21
2.575 -8.128 -3.72 20
6.103 -9.185 1.025 20
1.655 -5.66 1.223 20
-5.288 -1.556 -2.042 20
-6.997 -14.991 6.188 20
0.347 -17.435 -2.038 21
-0.282 0.003 -8.24 20
-1.134 1.574 -1.155 20
1.76 0.11 0.352 20
4.413 1.675 -2.323 20
-1.213 12.059 -3.169 20
-4.58 13.228 -0.56 21
-4.534 3.909 1.14 20
-4.084 5.405 -0.624 20
-3.652 9.228 1.492 20
-5.842 11.478 4.331 20
-8.653 9.076 6.282 21
-7.553 4.156 6.557 20
-0.196 -1.53 -3.832 20
1.869 -2.162 -0.562 20
-2.756 1.378 6.627 20
-8.744 -0.326 1.955 20
-11.06 -14.43 -8.873 21
-3.335 -24.862 0.43 20
0.326 -21.379 9.464 20
-2.413 -13.356 2.526 20
-0.193 -5.427 -2.135 20
-2.025 -3.723 -1.546 20
-3.476 -5.053 -1.538 21
-5.936 -4.867 -8.098 20
-4.999 -0.78 -19.833 20
-4.737 7.261 -14.926 20
-2.771 8.534 -1.188 20
-0.873 2.234 7.679 21
4.351 0.853 2.144 20
5.833 2.156 -4.488 20
2.805 5.468 -6.982 20
-2.11 6.928 2.923 20
-4.887 6.388 10.082 20
-3.413 1.899 3.591 21
0.612 -3.764 -2.748 20
5.716 -17.27 -13.017 20
2.932 -32.424 -7.259 20
-3.013 -18.529 0.735 20
4.555 -3.305 11.297 20
7.03 2.165 12.179 21
0.49 9.938 2.128 20
0.694 13.459 2.875 20
2.319 14.303 1.569 20
0.021 15.175 0.582 20
-1.983 15.204 0.602 20
-0.954 14.351 4.493 21
1.279 12.526 6.98 20
1.267 9.406 0.442 20
1.975 6.157 -9.381 20
4.47 2.464 -9.333 20
-0.329 -0.194 -1.511 21
-10.644 -0.694 5.982 20
-12.51 -5.337 2.434 20
-11.875 -13.382 13.969 20
-0.027 -23.727 22.629 20
9.174 -19.605 9.453 20
23.471 -18.893 -23.091 21
23.466 -12.502 -7.221 20
8.142 0.34 -6.4 20
-0.07 3.824 -6.525 20
-2.098 0.382 -2.313 20
-9.512 6.616 -9.017 21
-9.322 9.171 -7.393 20
-4.269 8.325 -3.278 20
-0.966 9.657 -2.432 20
3.398 9.482 -2.976 20
6.447 6.49 -2.922 20
0.837 3.204 3.861 21
-2.014 0.305 5.13 20
1.852 -4.211 3.744 20
4.463 -10.32 0.119 20
5.67 -26.783 -7.238 20
-0.786 -27.636 -4.735 20
0.092 -8.591 8.664 21
5.36 1.764 10.381 20
3.58 7.176 3.077 20
-3.471 14.388 2.836 20
-3.782 15.568 4.066 20
-3.951 14.35 0.229 20
-4.836 14.765 1.724 21
-4.838 15.118 6.239 20
-4.675 13.484 4.196 20
-3.41 9.964 -3.102 20
-0.883 5.986 -6.343 20
1.66 2.08 -6.456 21
-2.452 -3.549 -7.604 20
-9.442 -4.181 6.664 20
-9.082 -1.778 2.615 20
-9.985 -13.227 17.236 20
3.955 -26.56 30.66 20
14.748 -23.598 4.922 21
25.097 -18.304 -28.967 20
14.774 -4.338 -13.924 20
5.529 4.176 -1.892 20
0.17 1.645 -0.275 20
-5.443 3.596 -7.733 20
-8.318 9.225 -5.903 21
-6.488 9.016 -7.596 20
-4.733 9.658 -3.822 20
-1.841 11.215 -1.81 20
3.681 9.349 -4.488 20
3.392 4.622 -1.411 21
-1.795 1.706 5.404 20
0.469 -2.385 5.739 20
4.225 -6.314 6.903 20
7.09 -18.463 -4.295 20
4.837 -32.713 -8.638 20
-4.304 -19.843 3.627 21
1.084 -1.532 11.847 20
6.113 4.29 4.285 20
0.662 9.592 2.804 20
-3.747 14.081 4.758 20
-3.873 14.281 1.869 20
-5.393 14.189 0.072 21
-6.879 14.465 3.71 20
-7.568 14.163 4.178 20
