# Accelerometer Data File
# Started @Sun Jan 24 20:55:03 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.12 4.69 7.438 0
-0.995 4.277 6.382 20
-1.247 4.237 5.985 20
-0.98 3.889 5.499 20
-0.793 3.599 4.58 20
-0.52 3.246 3.365 20
-0.418 2.777 3.38 21
-0.527 2.589 4.109 20
-0.425 2.296 4.263 20
0.248 1.527 3.878 20
0.851 0.948 1.78 20
0.789 0.579 0.878 21
1.114 0.821 2.282 20
1.595 -0.019 2.302 20
1.955 -1.222 2.212 20
1.865 -1.514 1.477 20
-0.293 0.048 1.101 20
-1.1 1.673 2.711 21
0.856 -0.293 2.399 20
0.892 -0.229 1.859 20
0.138 0.338 0.266 20
-0.437 -0.178 -0.521 20
-0.704 0.281 2.188 20
0.433 0.359 1.946 21
0.236 -0.043 0.466 20
-0.183 -0.448 -0.224 20
0.369 0.566 -1.799 20
0.556 -0.251 -1.272 20
0.227 -0.829 0.646 20
0.437 -0.559 4.38 21
1.689 -0.348 3.916 20
1.457 -0.444 1.752 20
1.779 -0.514 1.107 20
2.589 -0.95 1.13 20
2.703 -2.332 -0.409 21
2.555 -4.375 -2.328 20
0.894 -2.193 0.239 20
0.688 -0.497 0.059 20
1.928 -1.362 -1.698 20
3.121 0.069 -2.154 20
0.336 1.449 -1.028 21
-0.121 1.291 -1.868 20
1.445 1.828 -4.675 20
0.668 2.227 -0.963 20
0.149 2.015 0.016 20
1.483 -0.997 1.388 21
0.289 1.066 0.436 20
4.247 1.007 -4.255 20
10.771 -4.537 -6.19 20
12.906 -7.701 -6.485 20
4.662 -3.214 -2.059 20
-1.624 -0.165 0.547 21
-2.315 -1.64 2.062 20
-1.327 -3.915 3.108 20
-0.683 -4.972 4.311 20
2.15 -5.796 2.323 20
5.669 -6.374 1.164 20
7.278 -5.161 -1.56 21
8.098 -2.83 -7.441 20
5.548 3.198 -11.418 20
-0.182 8.268 -8.116 20
-2.917 11.266 -1.386 20
-0.284 8.792 0.077 20
4.014 2.658 -0.671 21
2.212 2.114 0.676 20
-0.734 2.645 1.861 20
0.414 1.158 2.175 20
0.257 0.85 1.024 20
-1.562 0.577 -0.358 21
-1.289 0.3 1.375 20
0.186 -0.812 2.749 20
0.532 -1.774 3.03 20
-0.262 -1.474 1.438 20
3.519 -2.956 -8.659 20
4.954 -4.698 -12.001 21
-0.333 -4.424 -0.964 20
0.851 -6.705 9.239 20
-0.637 -5.034 6.728 20
-3.943 -1.883 -2.738 20
-2.658 -0.116 -5.676 20
-3.3 -0.689 -2.97 21
-4.074 0.517 2.375 20
-2.75 1.666 1.573 20
-1.315 1.075 -2.057 20
0.499 -0.267 -3.636 20
0.37 -2.2 -4.158 21
-0.016 -4.446 0.021 20
0.226 -6.229 8.39 20
4.076 -6.136 6.986 20
4.865 -2.879 -3.786 20
5.154 -1.216 4.706 20
-2.121 7.44 -11.167 21
-1.096 6.088 -5.965 20
1.653 1.441 -7.926 20
0.197 1.983 1.132 20
-0.794 0.036 1.019 20
-2.136 2.33 -2.4 20
-2.571 3.167 -4.404 21
-1.352 -2.101 -1.78 20
-1.053 -6.597 0.549 20
0.586 -5.017 2.152 20
1.017 -3.707 -0.949 20
1.599 -3.804 -2.687 21
4.543 -3.846 -0.84 20
3.393 -4.824 -3.056 20
0.559 -7.22 -0.489 20
7.507 -6.362 -3.711 20
3.484 0.056 -6.362 20
-1.3 1.947 -6.707 21
1.349 0.394 -4.37 20
-0.909 -3.598 -3.943 20
-1.404 -19.115 -3.001 20
-5.034 -6.911 -1.85 20
-3.162 1.532 -1.598 20
-8.082 0.441 7.435 21
-15.768 5.494 9.373 20
-18.283 7.699 4.769 20
-15.308 7.289 2.554 20
-8.148 3.195 4.534 20
-0.391 0.996 0.916 21
5.349 -2.395 -6.744 20
6.602 0.739 -5.574 20
4.072 3.327 2.218 20
1.973 -1.346 1.438 20
3.916 -5.086 -4.638 20
6.586 -8.863 -2.549 21
5.949 -8.378 0.234 20
2.743 -5.8 0.64 20
2.579 -6.242 0.425 20
4.985 -4.622 1.143 20
1.852 -1.245 -7.637 21
0.483 0.588 -6.923 20
2.212 5.533 3.673 20
-3.431 14.057 4.537 20
-5.584 5.931 8.257 20
-6.895 4.863 9.147 20
-4.511 5.369 7.424 21
-6.05 1.6 1.524 20
-5.104 -3.556 -2.439 20
-2.222 -2.28 -3.726 20
-0.161 -4.486 -7.175 20
4.112 -6.521 -5.104 21
6.316 -9.433 4.159 20
2.636 -6.303 12.711 20
-0.873 -6.238 10.399 20
6.968 -9.464 -5.464 20
11.956 -8.011 -5.815 20
4.101 -3.42 -1.465 21
-3.393 1.356 2.133 20
-5.233 1.867 -2.499 20
-2.868 -1.277 -5.136 20
-4.08 8.938 -2.348 20
-5.867 16.383 3.323 20
-6.106 12.259 3.903 21
-8.386 8.817 2.146 20
-8.177 9.235 3.388 20
-3.065 5.711 3.632 20
3.974 -0.469 -1.254 20
10.891 -7.295 -17.462 20
-5.581 -9.605 -8.715 21
-18.198 -0.67 19.855 20
-13.806 -1.817 6.546 20
-5.386 -6.072 -1.584 20
0.026 -7.868 0.647 20
6.055 -8.481 3.004 20
8.902 -14.687 2.3 21
6.093 -16.775 3.286 20
2.415 -9.557 -1.931 20
-9.392 -6.374 -16.107 20
-7.801 -4.603 -6.906 20
0.998 -1.691 -7.657 21
0.051 2.914 -8.642 20
-0.876 5.537 -8.149 20
0.418 7.659 -3.238 20
2.426 8.764 4.385 20
2.932 10.891 3.365 20
1.194 10.63 2.931 21
-2.242 5.768 5.057 20
-3.348 -1.953 1.914 20
-3.518 -9.094 0.492 20
-3.707 -17.683 -5.517 20
-2.224 -19.38 -13.434 20
0.136 -9.672 -0.589 21
3.693 -4.854 10.141 20
2.429 -0.816 5.41 20
0.383 4.858 2.741 20
0.459 8.919 3.273 20
0.372 11.422 3.42 21
-1.772 13.913 2.06 20
-2.796 15.706 1.581 20
-1.714 16.466 4.917 20
-0.622 14.47 7.148 20
0.327 9.992 0.744 20
0.911 6.392 -9.031 21
3.306 2.446 -20.348 20
-2.565 -4.069 -3.357 20
-10.615 -7.89 22.724 20
-9.439 -11.872 2.529 20
0.464 -16.245 11.488 20
5.074 -10.513 9.703 21
8.544 -7.526 -2.751 20
20.52 -14.44 -9.249 20
18.024 -9.473 1.406 20
13.084 -1.092 -9.455 20
3.801 3.069 -4.23 21
-3.863 2.12 -2.218 20
-8.308 6.23 -3.074 20
-8.501 9.781 -2.143 20
-5.959 10.491 -6.008 20
-3.198 11.072 -5.789 20
1.95 8.749 -0.848 21
6.423 4.827 -0.156 20
4.191 1.831 -0.659 20
0.245 -0.813 4.586 20
2.307 -4.49 9.927 20
4.332 -10.021 4.135 21
3.224 -26.868 -11.298 20
-2.811 -28.851 -6.016 20
0.285 -8.203 8.364 20
4.128 2.814 7.659 20
2.506 6.497 -0.6 20
-0.984 10.224 2.361 21
-4.02 11.987 3.616 20
-6.436 12.927 2.407 20
-8.901 13.947 3.271 20
-8.787 13.603 4.545 20
-6.069 12.007 2.558 20
-2.985 10.024 -0.942 21
-0.015 6.383 -7.736 20
4.724 1.187 -12.175 20
4.219 -3.37 -5.706 20
-3.019 -3.311 8.326 20
-3.987 -7.693 3.742 21
-8.006 -14.92 11.002 20
-1.794 -16.272 10.464 20
3.486 -6.04 3.607 20
11.164 -7.051 -1.681 20
19.365 -11.774 -0.491 20
15.717 -5.373 -7.545 21
11.269 -0.668 -8.291 20
-0.544 2.065 -3.926 20
-7.621 4.469 -3.269 20
-9.716 7.491 -0.641 20
-8.03 9.411 -2.699 20
-5.798 11.197 -3.03 21
-1.038 11.3 -2.085 20
7.055 8.177 -4.332 20
7.828 4.956 -1.085 20
1.511 1.793 2.213 20
-0.472 -2.518 2.768 21
-0.004 -5.948 7.118 20
1.587 -17.392 -2.885 20
1.365 -33.925 -8.642 20
