# Accelerometer Data File
# Started @Sun Jan 24 20:43:55 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
7.205 -4.537 4.396 20
7.528 -3.607 1.21 20
-1.223 -1.026 3.654 20
-5.08 -0.257 2.42 20
-6.806 0.522 2.995 21
-14.145 8.001 5.925 20
-8.457 7.645 0.178 20
-3.418 0.893 -3.491 20
-0.591 -3.128 0.11 20
4.407 -4.292 -0.536 20
9.438 -7.23 1.149 21
3.958 -4.097 -3.45 20
-0.376 -0.261 -3.266 20
-0.892 1.543 -2.513 20
-1.596 1.591 0.834 20
-1.277 0.783 1.8 20
-1.19 0.448 1.702 21
-2.248 0.485 1.31 20
-2.545 0.555 0.398 20
-1.674 0.116 0.619 20
0.12 -1.033 0.469 20
2.641 -3.181 -1.336 20
3.257 -4.208 -0.808 21
1.103 -3.591 1.16 20
-0.328 -1.716 0.967 20
-0.722 -0.647 0.146 20
-0.628 -0.757 -0.008 20
0.462 1.092 0.817 20
0.278 3.555 2.059 21
-0.275 3.007 3.03 20
-1.606 1.777 1.507 20
-4.877 0.696 1.613 20
-1.483 -7.274 1.137 20
-1.48 -6.325 -1.804 20
-3.584 -6.787 -4.491 21
-0.964 -13.311 -3.581 20
1.453 -10.484 -2.837 20
0.941 1.597 3.75 20
-2.382 8.669 0.497 20
-0.272 2.759 1.059 21
-0.102 2.753 2.277 20
-1.183 4.543 1.579 20
-1.395 4.088 1.117 20
-2.745 3.815 0.227 20
-3.971 5.745 -0.357 20
-1.683 5.632 -0.908 21
0.304 2.279 -0.845 20
0.515 0.833 -1.634 20
-0.87 2.907 -1.761 20
-2.273 3.276 -1.303 20
-0.991 1.7 -2.748 20
3.518 -4.296 -5.194 21
5.865 -10.681 -3.439 20
5.589 -10.493 0.217 20
1.747 -3.25 1.243 20
-2.618 -1.948 4.581 20
-6.629 -5.162 4.932 20
-9.498 -6.553 4.652 21
-5.627 -3.192 1.05 20
-0.545 -0.407 -1.939 20
0.83 0.797 2.805 20
-0.888 1.131 8.042 20
-4.182 4.392 8.977 21
-4.956 6.596 5.643 20
-3.637 2.634 -0.258 20
-4.23 -0.035 -4.917 20
-5.26 1.039 -5.053 20
-2.32 0.758 -4.992 20
-1.143 0.616 -1.595 21
-0.841 0.403 4.562 20
-1.214 -0.309 4.422 20
-1.063 -0.662 0.421 20
0.313 -1.083 -1.544 20
1.004 -1.845 -0.005 20
1.164 -1.784 0.546 21
2.423 -1.133 -1.055 20
2.618 -0.647 -0.87 20
0.578 -0.625 0.184 20
-0.913 -1.207 0.351 20
-0.897 -1.891 0.264 20
-0.184 -2.538 -0.149 21
0.689 -3.463 -1.305 20
1.692 -4.348 -1.869 20
1.732 -3.432 -1.591 20
0.776 -0.58 -1.066 20
-0.469 1.09 -0.698 21
-2.815 0.701 -0.788 20
-4.347 -1.018 3.798 20
-5.441 -1.358 6.598 20
-5.929 -1.509 0.646 20
0.19 -3.218 -5.828 20
1.969 -1.857 -0.959 21
-0.331 2.143 1.702 20
1.489 4.113 0.555 20
3.58 4.465 0.547 20
3.092 4.803 1.083 20
2.177 4.993 1.496 20
1.153 5.171 1.286 21
0.014 5.428 0.291 20
-0.416 5.243 -0.112 20
-0.555 4.688 -0.675 20
-1.088 4.105 -2.459 20
-1.04 3.365 -4.649 20
-0.071 1.836 -5.433 21
1.444 -1.078 -4.924 20
4.547 -6.393 -5.682 20
6.897 -12.95 -4.322 20
4.577 -12.349 -2.224 20
1.554 -2.633 -2.825 21
-1.826 3.94 2.234 20
-5.375 2.421 7.239 20
-6.666 -2.413 6.832 20
-3.358 -4.325 1.886 20
-0.672 0.944 -2.699 20
-0.78 7.012 2.996 21
-0.743 7.8 6.64 20
-0.349 3.969 4.661 20
1.532 -1.577 2.593 20
2.019 -5.289 2.443 20
2.087 -4.42 -1.901 20
2.697 -0.078 -3.772 21
1.968 2.249 -0.434 20
1.293 1.134 2.212 20
0.732 -0.675 1.696 20
-0.064 -0.159 -0.424 20
-1.366 1.119 -0.875 20
-2.508 1.43 0.608 21
-2.695 0.946 1.326 20
-1.682 -0.146 0.266 20
0.135 -1.334 -1.814 20
1.831 -2.119 -2.215 20
2.161 -2.332 -0.21 21
1.973 -1.443 1.36 20
2.349 -0.745 0.704 20
2.021 -2.031 -1.047 20
1.289 -4.089 -1.882 20
0.604 -3.855 -1.642 21
0.058 -0.824 -1.234 20
0.138 0.786 -0.246 20
-1.349 -0.087 -1.373 20
-3.154 -2.715 1.506 20
-5.517 -3.338 5.415 20
-7.813 -2.526 3.33 21
-2.536 -3.181 -2.959 20
2.3 -2.477 -3.439 20
-0.122 1.446 0.48 20
0.754 4.22 2.569 20
2.776 5.34 0.967 20
3.674 5.437 0.79 21
2.819 5.159 0.808 20
1.28 4.938 0.475 20
-0.313 4.938 0.703 20
-1.353 4.8 0.568 20
-1.423 4.712 -0.264 20
-1.593 4.823 -1.99 21
-1.841 4.854 -4.236 20
-1.418 3.862 -5.237 20
0.321 0.487 -3.237 20
5.189 -6.746 -3.87 20
10.069 -16.625 -5.876 20
7.305 -14.035 -4.336 21
2.279 -0.272 -2.373 20
-1.654 6.145 0.459 20
-4.381 6.418 4.923 20
-5.715 0.652 5.813 20
-5.976 -6.214 4.779 21
-3.043 -7.141 -3.63 20
0.352 -0.045 0.095 20
-1.032 7.278 6.56 20
-1.783 7.33 6.477 20
-0.445 2.82 2.917 20
1.481 -1.674 2.755 21
0.785 -4.098 2.999 20
1.52 -2.67 -2.761 20
1.424 1.377 -5.907 20
1.214 1.88 -0.907 20
0.974 0.183 2.641 20
1.112 -0.367 1.805 21
1.326 0.333 0.081 20
0.219 1.116 -0.262 20
-1.313 0.608 0.05 20
-1.689 -0.312 -0.263 20
-0.526 -0.654 -1.127 21
0.979 -0.556 -1.512 20
1.392 -0.819 -0.315 20
0.602 -1.332 1.207 20
0.33 -1.438 1.281 20
0.528 -1.836 -0.412 20
1.023 -3.114 -1.843 21
2.087 -4.286 -1.937 20
1.742 -2.936 -2.084 20
0.74 -0.204 -1.323 20
0.258 1.098 0.05 20
-1.067 0.311 -0.586 20
-2.993 -2.375 1.938 21
-5.757 -3.377 3.963 20
-7.805 -2.895 2.284 20
-3.525 -3.129 -1.57 20
2.184 -1.721 -2.394 20
0.676 2.27 -0.762 20
1.425 4.122 1.735 21
3.154 4.55 1.128 20
3.009 5.091 0.827 20
2.098 5.16 1.622 20
1.028 4.782 1.197 20
-0.214 4.267 0.92 21
-1.29 3.823 0.448 20
-1.599 3.923 -0.732 20
-1.661 4.348 -2.429 20
-1.915 4.536 -4.374 20
