# Accelerometer Data File
# Started @Sun Jan 24 20:41:40 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-2.463 4.709 6.309 0
-2.217 4.219 5.943 20
-2.21 3.971 6.08 20
-1.892 3.749 5.663 20
-1.362 3.266 4.89 20
-1.159 2.886 4.106 20
-1.47 3.155 3.986 20
-1.627 3.215 3.812 21
-0.697 2.723 3.325 20
0.023 1.785 3.158 20
0.163 1.494 2.851 20
0.168 1.888 1.065 20
0.382 1.727 0.446 20
0.505 1.069 0.946 21
0.418 0.533 1.619 20
0.633 -0.028 1.973 20
0.682 -0.252 2.482 20
-0.377 1.15 2.661 20
-0.596 2.049 0.948 20
0.299 1.143 -1.284 21
0.217 0.988 -0.496 20
0.0 0.794 1.18 20
-0.241 0.374 1.577 20
-0.588 0.345 1.267 20
-0.128 0.304 1.42 20
0.255 0.159 1.407 21
0.311 -0.106 1.148 20
0.314 -0.177 0.583 20
0.718 -0.258 -0.354 20
0.78 -0.021 -0.657 20
0.935 0.221 -0.208 20
1.536 -0.203 0.161 20
1.785 -0.327 0.098 21
1.568 -0.182 -0.058 20
1.029 -0.332 0.307 20
0.993 -0.055 -0.057 20
0.762 0.057 0.155 20
0.063 0.2 1.159 21
-0.417 0.068 1.699 20
-0.19 0.096 0.688 20
0.076 0.246 -0.4 20
-0.146 0.391 -0.735 20
-0.235 0.367 -0.556 20
0.322 -0.024 -0.099 20
0.588 -0.005 -0.229 21
0.447 0.096 -0.517 20
-0.08 0.225 -0.506 20
-0.326 0.148 -0.283 20
0.085 0.291 0.158 20
0.419 0.451 0.147 20
0.336 0.559 0.315 21
0.033 0.57 0.467 20
-0.252 0.634 0.211 20
-0.242 0.516 0.265 20
0.008 0.163 0.631 20
0.003 0.246 0.342 20
-0.081 0.258 0.189 20
-0.323 0.213 0.728 21
-0.159 0.152 0.918 20
-0.069 0.238 0.592 20
0.159 0.189 0.263 20
0.393 -0.183 0.2 20
0.25 -0.626 0.447 20
0.134 -1.081 1.45 21
0.261 -1.326 2.178 20
-0.144 -1.379 1.609 20
0.126 -1.922 0.683 20
-0.138 -2.342 -0.249 20
-1.728 -1.052 -0.25 20
-0.21 -0.353 -2.2 21
0.41 -0.585 -2.571 20
1.24 -0.98 -1.928 20
1.762 -1.524 -0.849 20
2.64 -1.65 0.822 20
3.446 -1.301 0.27 20
3.297 -1.201 -0.362 21
3.573 -0.976 -0.835 20
1.694 -0.805 -1.898 20
0.151 -0.161 -2.879 20
-0.368 -0.111 -0.72 20
3.529 -1.576 0.097 20
3.34 -0.988 -1.265 21
0.622 0.682 -0.828 20
-0.668 1.299 -3.686 20
-2.145 2.021 -0.995 20
-0.786 1.144 3.305 20
3.097 -1.565 1.612 20
3.466 -1.958 -0.868 20
-1.484 -0.199 -0.548 21
1.369 -2.109 1.398 20
4.628 -3.237 -0.15 20
5.066 -3.728 0.288 20
3.55 -4.207 -1.223 20
1.085 -5.032 -1.786 20
0.021 -5.223 -1.929 21
0.48 -4.91 -1.242 20
1.971 -4.173 -0.846 20
5.573 -3.682 -2.588 20
9.662 -2.803 -4.879 20
11.365 -0.429 -6.056 20
11.996 3.235 -5.183 21
11.874 6.199 -1.31 20
10.695 7.013 -0.403 20
8.304 6.309 -2.712 20
4.727 6.351 -9.821 20
2.834 5.481 -19.814 20
-2.612 2.207 -1.355 20
-4.423 -1.039 10.007 21
-4.375 -0.819 6.109 20
-5.639 -0.56 0.162 20
-3.598 -2.119 -4.307 20
-2.235 -1.584 -2.21 20
-2.853 -0.188 2.042 20
-5.001 -1.107 0.376 21
-1.453 -2.171 -3.55 20
-1.038 -0.576 -2.326 20
-2.286 0.438 -0.996 20
0.356 0.728 2.487 20
1.183 0.765 0.205 20
0.405 0.714 -4.335 20
0.474 -0.917 -2.645 21
0.586 -0.976 1.446 20
2.05 -1.031 3.636 20
3.505 -1.2 2.694 20
3.118 -1.209 3.3 20
0.861 -2.246 3.921 20
-3.294 -1.271 4.947 21
-4.256 -2.819 1.904 20
-5.958 -2.134 -0.752 20
-7.057 -0.006 1.416 20
-5.601 1.705 3.672 20
-4.67 1.882 1.379 20
-1.172 1.858 2.214 21
1.318 0.35 1.499 20
-0.615 0.703 -6.067 20
1.601 -2.391 -4.212 20
0.562 0.173 -0.656 20
0.82 0.203 2.207 20
1.579 -1.985 4.696 21
0.183 -2.39 3.574 20
2.049 -1.657 -0.097 20
-1.88 2.888 -3.338 20
-2.125 2.748 -1.499 20
1.924 -0.447 -1.136 20
0.845 -1.702 -0.287 20
2.77 -2.931 2.865 21
6.962 -2.951 -0.096 20
0.801 -0.45 -5.485 20
0.559 -1.067 -8.013 20
8.34 -5.007 -0.694 20
3.91 -3.92 -0.086 20
-1.295 -2.29 -3.35 21
-4.28 -1.552 -4.459 20
-7.254 -3.339 -2.032 20
-9.547 -7.708 -0.408 20
-8.467 -13.771 -1.413 20
-1.028 -14.537 -4.546 20
2.832 -13.053 -2.999 21
3.67 -13.106 -2.677 20
0.955 -5.116 0.463 20
-3.204 2.757 5.544 20
-3.644 2.822 5.03 20
-4.836 5.355 1.475 20
-3.52 3.201 -1.501 20
-2.644 2.786 -2.534 21
-0.519 1.386 -4.335 20
-0.582 -0.94 -2.084 20
-1.571 0.738 -1.796 20
-2.516 4.193 -2.862 20
-4.217 5.744 -3.714 20
-1.786 2.533 -1.998 21
0.31 1.448 -1.037 20
-0.106 2.575 1.101 20
1.609 -3.162 -2.652 20
4.77 -8.195 -8.576 20
2.586 -8.216 -3.676 20
-0.901 -6.855 4.583 21
-3.239 -4.281 6.436 20
-6.746 -6.22 6.332 20
-9.133 -7.062 5.071 20
-8.211 -0.662 -4.716 20
-4.341 4.017 -3.027 20
-1.333 2.414 5.353 20
-2.603 0.183 5.547 21
-4.561 -1.734 3.644 20
-3.126 -3.606 0.18 20
-1.738 -2.812 -4.289 20
-2.379 -1.522 -4.009 20
-0.41 -0.557 -0.191 20
1.588 1.753 3.005 21
-0.055 3.664 3.17 20
-5.228 2.768 1.762 20
-6.333 1.822 0.118 20
-4.775 1.718 -0.557 20
-2.491 1.69 -1.338 20
-1.353 0.719 -1.646 21
-0.448 -3.15 -1.382 20
0.158 -3.952 -0.302 20
0.502 -1.716 -1.591 20
1.55 -2.167 1.133 20
2.798 -4.841 1.742 20
2.497 -4.873 -0.805 20
0.891 -3.948 -2.445 21
-1.405 -2.537 -5.204 20
-3.798 -0.026 -2.907 20
-4.703 0.2 -0.682 20
-6.278 -0.58 -0.222 20
-6.562 0.593 3.366 20
-8.239 1.58 5.021 21
-7.383 3.541 4.471 20
-1.908 3.478 -3.393 20
-0.21 2.809 -7.275 20
-0.335 3.358 -1.52 20
1.377 2.72 -0.406 20
2.496 1.454 0.804 21
3.566 0.045 1.795 20
3.847 -0.288 2.603 20
1.852 1.195 2.554 20
0.778 3.41 2.35 20
0.75 5.784 1.417 20
1.175 7.622 0.154 21
0.443 7.933 -3.159 20
-0.169 6.245 -7.705 20
0.599 2.809 -8.53 20
2.505 -3.464 -4.229 20
3.07 -12.009 -1.926 20
-0.259 -15.594 -3.211 21
-1.244 -8.423 -4.491 20
-1.273 -0.673 3.278 20
-4.892 0.642 8.733 20
-7.189 -1.01 5.106 20
-3.234 1.755 -1.662 20
1.086 5.977 1.759 21
3.325 7.706 5.095 20
3.693 6.133 5.989 20
2.539 1.611 5.06 20
2.098 -3.445 1.585 20
-0.017 -5.0 -0.901 20
1.657 -3.362 -0.306 21
3.645 -0.561 0.614 20
3.067 -0.408 -0.164 20
1.471 -0.507 1.017 20
-0.37 0.383 1.894 20
-1.829 1.153 0.963 20
-2.487 1.596 0.119 20
-2.885 1.281 0.161 21
-2.916 -0.122 -0.592 20
-1.414 -1.763 -2.762 20
1.024 -3.1 -2.574 20
