# Accelerometer Data File
# Started @Sun Jan 24 20:42:40 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-2.422 5.071 6.406 0
-2.033 4.467 5.785 20
-2.011 4.169 5.553 20
-1.844 3.823 5.274 20
-1.464 3.277 5.02 20
-0.877 2.742 4.361 20
-0.613 2.356 3.761 20
-0.832 2.31 3.309 21
-0.66 2.163 3.45 20
-0.531 1.986 3.485 20
-0.263 1.681 3.203 20
0.228 1.11 3.187 20
0.813 0.466 2.568 20
1.344 0.118 0.957 21
1.561 -0.141 0.381 20
1.511 -0.618 0.612 20
1.357 -0.973 1.165 20
1.142 -1.022 1.068 20
0.411 -0.322 2.132 20
-0.539 0.461 3.615 21
-0.435 0.303 2.624 20
0.023 -0.095 0.613 20
-0.023 0.064 0.558 20
0.058 0.052 1.542 20
0.024 0.148 2.429 20
-0.206 0.256 1.811 21
0.079 0.006 0.81 20
0.289 0.322 0.216 20
0.477 0.072 -0.234 20
0.494 -0.124 0.248 20
0.466 -0.053 1.249 20
0.616 -0.104 0.46 21
0.638 0.21 0.19 20
0.859 -0.321 0.462 20
0.633 -0.009 -0.663 20
1.458 0.444 -0.401 20
1.672 0.578 0.05 21
1.27 0.367 0.099 20
1.332 -0.749 0.44 20
1.285 -1.251 2.238 20
-0.373 0.184 3.4 20
-0.258 0.456 0.682 20
0.808 -0.848 -3.454 21
0.262 0.344 -6.111 20
0.529 3.085 -1.516 20
3.736 1.189 0.418 20
4.481 -1.154 -1.908 20
3.981 -0.023 -2.172 20
3.512 0.149 -1.117 20
2.887 -1.077 -0.464 21
2.611 -0.881 0.623 20
2.423 -0.532 0.778 20
2.129 -0.81 0.45 20
2.024 -1.167 -0.273 20
2.108 -1.124 0.066 20
3.049 -1.028 -0.992 21
4.878 -1.702 -2.212 20
4.403 -1.728 -4.043 20
3.307 -1.212 -3.501 20
1.983 -0.373 -2.471 20
0.29 -0.974 -1.845 21
0.608 -1.053 -3.629 20
1.679 -3.703 -0.189 20
1.162 -4.089 -4.18 20
1.123 -3.943 -4.284 20
0.418 -3.866 -2.575 20
-0.172 -5.064 -0.174 21
-0.895 -4.484 2.466 20
-0.624 -3.721 0.447 20
0.026 -3.506 -2.147 20
2.05 -3.384 -2.728 20
4.318 -2.502 -2.744 20
5.695 -0.984 -2.812 21
7.283 -1.272 -0.119 20
8.722 -1.444 1.544 20
9.335 0.7 2.185 20
8.022 4.457 1.376 20
6.09 5.417 0.731 20
5.093 3.969 -1.025 21
2.583 3.294 -4.796 20
-0.106 2.443 -13.867 20
-2.881 3.173 -4.307 20
-7.599 6.439 3.373 20
-6.938 4.905 1.916 20
-5.361 2.237 0.651 21
-5.795 2.19 1.431 20
-4.777 0.856 3.345 20
-4.397 0.033 3.275 20
-4.472 0.465 0.956 20
0.113 -0.893 -0.711 20
2.767 -1.44 0.394 21
2.143 -1.725 1.614 20
2.851 -3.068 2.015 20
1.281 -3.08 2.665 20
-3.654 0.853 3.895 20
-2.799 3.003 0.871 20
-0.673 2.666 -1.285 21
-1.177 3.044 -3.054 20
-1.95 3.27 -2.041 20
-2.262 1.333 -0.688 20
-2.423 -0.619 2.864 20
0.772 -3.106 5.807 20
4.817 -5.242 1.234 21
4.281 -5.306 -4.421 20
0.757 -3.918 -2.847 20
-2.058 -3.692 1.501 20
1.532 -7.374 1.402 20
5.151 -7.397 -5.724 20
-0.923 0.836 -10.527 21
-0.324 1.321 -4.47 20
1.937 0.738 0.29 20
1.939 1.536 -1.924 20
0.292 1.85 -5.457 20
-0.389 -0.122 -3.46 20
-1.816 -1.379 -1.467 21
0.035 -2.688 -1.428 20
-1.332 -2.244 -4.405 20
-3.784 -2.326 -3.691 20
-2.532 -2.451 -1.472 20
-3.637 -0.199 0.031 20
0.179 0.262 -2.899 21
4.527 0.089 -5.791 20
1.8 0.733 -3.699 20
-0.261 0.975 -3.003 20
0.786 0.278 -2.785 20
1.056 0.869 -2.192 20
0.131 0.618 -4.158 21
-0.032 0.041 -4.605 20
3.071 -1.523 -2.515 20
3.277 -2.712 1.252 20
0.519 -3.689 2.02 20
-6.26 -4.07 -0.027 20
-9.401 -6.843 2.187 21
0.149 -13.245 6.608 20
-2.26 -7.827 1.068 20
-5.813 -0.94 -1.429 20
-4.544 0.524 3.18 20
-1.285 0.969 4.55 20
2.357 0.234 3.31 21
2.979 -0.137 -1.019 20
0.198 0.49 -2.383 20
-2.768 0.859 1.513 20
-2.983 0.148 2.207 20
1.21 -0.726 0.091 20
4.025 -0.988 -1.176 21
-1.973 -2.368 -0.99 20
-5.316 -3.265 0.831 20
-4.086 -1.69 2.332 20
-3.269 0.293 1.843 20
0.791 -0.376 3.405 20
4.34 -1.817 1.531 21
1.853 -1.264 -0.001 20
-0.508 -0.778 0.072 20
-0.326 -1.532 -0.536 20
0.732 -2.813 1.218 20
0.958 -3.84 1.971 20
1.598 -4.398 1.334 21
2.294 -4.872 1.914 20
1.338 -4.586 1.156 20
-0.826 -3.394 0.048 20
-2.705 1.483 0.464 20
-4.043 4.834 2.522 20
