# Accelerometer Data File
# Started @Sun Jan 24 21:16:19 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the ";"
# X;Y;Z;time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-2.71;4.543;7.835;0
-2.452;4.153;6.858;19
-2.106;3.665;6.466;20
-1.716;3.364;5.613;20
-1.533;3.049;4.809;20
-1.417;2.834;4.156;20
-1.111;2.72;3.887;20
-0.247;2.222;3.235;20
0.146;2.059;2.274;20
0.23;1.922;2.007;20
0.183;1.828;1.884;20
-0.099;1.918;2.178;20
0.153;1.626;2.273;20
0.382;1.182;2.326;20
0.683;0.861;2.265;20
0.576;0.697;2.016;20
0.309;0.647;2.272;20
0.432;0.396;2.226;20
1.612;0.185;-1.065;20
3.385;-0.676;-0.035;20
2.903;-0.853;1.374;20
1.688;-0.18;1.173;20
1.306;0.37;1.474;20
1.695;0.063;2.819;20
2.208;-1.178;2.451;19
1.358;-0.996;1.445;20
0.741;-0.532;0.263;20
0.673;-0.245;0.275;20
0.495;-0.028;0.234;20
0.761;-0.189;-0.135;20
0.995;-0.533;-0.261;20
1.043;-0.231;0.046;20
1.242;0.219;0.34;20
1.19;0.091;0.046;20
1.133;-0.189;-0.174;20
1.071;-0.082;-0.072;20
0.798;0.08;0.418;20
0.532;-0.103;0.007;20
0.281;-0.058;-0.722;20
0.324;0.164;-0.295;20
0.606;0.152;0.501;20
0.711;0.015;0.447;20
0.809;0.02;-0.02;20
0.61;0.161;-0.168;20
0.286;0.287;-0.116;20
0.253;0.247;-0.13;20
0.437;0.28;-0.407;20
0.622;0.283;-0.526;20
0.396;0.391;-0.241;20
0.309;0.261;-0.349;20
0.114;0.321;-1.082;19
-0.123;0.776;-1.358;20
-0.139;0.644;-0.352;20
