# Accelerometer Data File
# Started @Sun Jan 24 21:12:06 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.884 4.093 6.628 0
1.412 4.011 5.305 20
1.808 3.299 4.859 20
2.151 2.523 4.373 20
0.64 2.663 3.806 20
-0.74 3.591 4.447 20
-0.468 2.833 4.759 21
-0.404 2.069 4.357 20
-0.706 2.041 4.106 20
-0.478 1.852 3.592 20
-0.26 1.33 2.692 20
-0.376 1.193 2.761 20
-0.636 1.475 2.599 21
-0.846 1.428 2.624 20
-0.608 1.387 1.917 20
-0.233 1.356 2.2 20
-0.27 0.977 1.337 20
0.034 1.304 0.052 20
0.249 1.057 0.385 21
0.202 0.994 1.679 20
-0.669 1.003 1.694 20
-0.585 0.24 1.465 20
-0.019 -0.242 0.736 20
-0.039 -0.75 0.831 20
-0.175 -0.99 0.935 21
-0.022 -0.432 -0.061 20
0.286 -0.149 -0.613 20
-0.294 -0.059 0.361 20
-0.161 -0.126 0.84 20
0.13 0.099 0.314 21
-0.091 -0.037 -0.404 20
-1.207 0.218 0.985 20
0.131 0.049 2.458 20
1.232 -0.371 2.952 20
0.115 -0.064 3.963 20
0.808 -0.989 3.53 21
1.685 -1.944 0.094 20
0.945 -1.189 -2.055 20
-1.596 1.257 1.978 20
1.174 0.254 -0.961 20
4.014 -0.325 -5.015 20
3.876 1.052 -6.094 21
2.813 0.945 -2.444 20
0.624 -0.507 0.065 20
-0.179 -0.777 -0.005 20
-0.495 -0.236 1.751 20
-1.392 -0.999 0.794 20
1.212 -3.543 4.28 21
3.476 -4.644 6.551 20
1.966 -3.586 4.986 20
0.482 -3.432 -0.793 20
-1.132 -1.653 -0.656 20
1.41 -3.165 -2.181 21
0.611 -1.932 -3.761 20
-2.174 -0.715 -0.091 20
-1.39 -2.342 -1.944 20
0.656 -4.201 -3.293 20
1.449 -5.791 -4.161 20
1.679 -6.182 -5.974 21
3.658 -6.139 -8.554 20
2.098 -4.279 -9.99 20
3.307 -5.063 -7.469 20
7.661 -6.184 -2.967 20
8.497 -6.005 -2.959 20
9.714 -4.036 -3.575 21
8.93 0.603 -8.635 20
2.255 1.785 -9.365 20
0.173 2.462 -3.33 20
0.262 -0.851 0.864 20
5.949 -4.002 2.821 21
8.161 -2.455 4.389 20
4.68 0.478 3.044 20
1.75 1.379 -2.416 20
3.116 1.519 -8.591 20
5.26 1.624 -7.815 20
5.133 0.069 -6.154 21
2.85 -2.21 -6.539 20
1.754 -3.392 -5.176 20
-0.514 -1.453 -1.847 20
-2.192 -2.36 -2.272 20
-3.908 -2.633 -2.465 20
-2.767 -0.886 -1.169 21
0.066 -0.873 -1.035 20
-0.779 -0.318 -1.022 20
-2.21 -0.21 -0.143 20
-1.392 0.735 2.485 20
-2.507 3.328 5.624 20
-5.201 3.855 -4.894 21
-3.015 4.017 -7.259 20
-0.794 3.387 -0.305 20
-1.532 0.907 -0.319 20
-4.166 3.343 1.898 20
-2.532 4.201 3.581 20
1.082 1.0 1.956 21
-0.748 1.672 -4.196 20
-3.062 3.695 0.772 20
-8.866 3.073 -4.08 20
-3.1 -3.007 -6.794 20
5.475 -3.728 2.435 21
-0.546 -2.012 11.958 20
-5.012 -4.529 12.159 20
-2.325 -6.135 3.479 20
4.659 -15.036 -20.962 20
0.69 -11.092 -8.367 20
-4.677 -7.887 1.645 21
-3.349 -1.428 -0.328 20
-0.572 0.626 2.015 20
-1.582 0.665 -0.233 20
-2.254 1.269 0.475 20
-1.565 -1.753 -2.916 20
-1.113 -1.851 -1.969 21
-0.812 -0.586 0.972 20
-1.548 0.224 -1.123 20
-1.542 1.67 -1.72 20
-0.753 3.881 -3.083 20
0.408 -0.486 0.894 21
-0.229 -0.086 3.178 20
-1.082 1.431 1.625 20
-1.174 -0.255 -0.585 20
-0.826 -1.182 -3.422 20
-0.379 -0.223 -1.258 20
-0.766 0.158 0.514 21
-1.276 -1.728 -0.562 20
-3.114 -0.417 -1.058 20
-4.668 2.884 0.586 20
-3.392 0.217 -1.181 20
-1.348 -1.274 2.267 20
-2.733 0.601 1.396 21
-2.194 -0.771 -1.958 20
-1.643 -4.566 -1.995 20
0.14 -6.235 0.47 20
-2.504 -5.64 0.369 20
-2.816 -4.569 -2.866 20
-2.761 1.766 -0.228 21
-3.108 2.001 0.428 20
-2.674 -0.151 0.566 20
-2.797 1.221 0.43 20
-2.538 1.933 -0.395 20
-2.617 1.399 -1.535 21
-0.559 0.766 -1.394 20
0.514 -0.591 -0.394 20
-0.636 -0.279 0.644 20
-1.935 1.748 0.08 20
0.167 4.133 -1.855 20
0.586 -0.643 0.13 21
-2.391 -0.738 -0.335 20
-2.169 -0.546 0.347 20
-1.695 0.064 -1.366 20
-1.107 0.633 -0.652 20
-0.984 -0.317 -0.856 20
-1.381 -0.245 -0.52 21
-0.915 2.262 0.695 20
-0.138 2.963 -0.105 20
-0.984 1.66 -0.463 20
-1.725 -0.066 0.479 20
-0.526 1.091 0.6 21
-0.631 0.27 -0.921 20
-0.921 -0.124 -0.805 20
-0.314 2.651 0.001 20
-1.358 2.11 0.391 20
-2.02 -0.196 1.055 20
-1.391 0.254 -0.085 21
-1.739 1.576 0.365 20
-2.958 -0.398 0.106 20
-2.067 -1.221 -1.473 20
-2.272 -1.788 -2.072 20
-3.765 -2.668 -2.44 20
-3.923 -1.7 -2.631 21
-2.546 -0.217 1.188 20
2.3 2.623 1.625 20
3.827 2.99 -0.028 20
-0.267 1.32 -2.242 20
-0.23 1.02 -2.474 20
2.155 0.023 -2.598 21
2.931 -1.401 -3.442 20
1.33 -1.942 -2.015 20
