# Accelerometer Data File
# Started @Sun Jan 24 21:10:21 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.244 5.121 7.21 0
0.84 3.861 8.035 20
1.153 2.72 7.557 20
1.935 2.036 5.089 20
2.112 2.096 3.806 20
1.666 2.341 2.486 20
2.068 2.139 1.577 21
2.256 0.739 1.335 20
1.985 0.299 2.607 20
1.461 -0.038 2.198 20
0.709 3.071 1.747 20
2.438 2.352 1.346 20
3.585 1.377 2.928 21
3.114 0.558 3.627 20
2.052 0.114 2.352 20
2.817 -0.353 0.59 20
3.417 -0.268 -0.776 20
0.407 0.713 2.942 20
-1.084 -0.666 4.219 21
-0.288 -0.112 0.529 20
-0.58 0.575 3.546 20
0.673 0.269 5.619 20
1.473 -0.05 0.154 20
0.008 0.196 -2.081 21
0.313 0.224 -1.198 20
0.778 0.876 -1.052 20
0.909 -0.59 0.318 20
1.674 -0.514 0.305 20
2.112 0.379 0.762 20
2.052 -0.007 2.421 21
2.621 0.049 -0.168 20
1.796 0.335 -1.99 20
1.213 0.224 -2.045 20
0.846 0.232 -9.354 20
-0.363 2.024 -4.236 20
1.744 -0.426 6.322 21
2.29 -2.434 2.893 20
0.858 -1.703 -4.417 20
-0.419 -0.983 -6.405 20
-0.908 -1.111 -2.72 20
-1.787 -1.541 2.637 21
-0.875 -4.47 3.479 20
-0.842 -4.234 4.694 20
-2.745 -4.986 3.569 20
-2.891 -5.009 4.465 20
-0.347 -5.084 2.671 20
0.625 -3.657 -3.136 21
4.01 0.979 -20.896 20
-0.741 2.849 -1.791 20
1.943 -4.521 6.127 20
0.401 -6.354 5.561 20
2.215 -4.841 5.607 21
3.524 -2.764 2.142 20
1.882 -0.097 -4.535 20
2.147 1.445 -6.899 20
4.355 1.986 -7.621 20
4.965 2.389 -7.396 21
4.385 1.184 -6.581 20
3.994 -0.641 -5.22 20
3.709 -0.499 -3.29 20
3.596 0.046 -2.137 20
5.462 -2.342 -2.525 20
6.442 -3.703 -1.201 21
5.563 -1.93 0.44 20
4.433 -1.135 -3.949 20
3.604 -3.005 -8.599 20
0.721 -4.494 -6.066 20
-0.961 -2.078 -1.311 20
-3.529 -0.044 -4.181 21
-6.288 0.796 -7.159 20
-1.006 0.518 -1.189 20
4.891 1.238 4.463 20
-0.662 0.411 1.27 20
-1.033 2.062 -1.579 20
-6.708 5.528 -2.842 21
-10.769 5.055 -3.713 20
-14.761 3.292 -1.199 20
-17.034 -0.891 -0.695 20
-5.396 -7.354 -3.499 20
-1.083 -6.972 -3.859 20
9.245 -4.936 7.037 21
19.482 -4.464 0.391 20
-2.173 3.969 -7.715 20
-2.186 2.824 1.261 20
1.768 -0.965 9.231 20
3.262 -1.347 0.076 21
1.392 -0.701 -7.293 20
1.695 -2.295 -4.522 20
-0.033 -3.295 11.847 20
-3.455 -10.121 1.206 20
-8.111 -8.106 -7.645 20
-2.078 -7.694 -2.474 21
0.334 -3.242 0.556 20
-2.837 2.333 0.412 20
-3.56 0.515 -0.519 20
-3.364 -0.098 -1.146 20
-1.932 -1.755 -3.972 20
-1.153 -2.375 -1.835 21
0.171 -1.124 -1.147 20
-0.483 0.451 -1.032 20
-2.979 7.225 -0.877 20
-2.64 5.392 -0.725 20
-1.746 2.428 -0.575 21
-1.341 2.939 2.436 20
-3.785 1.524 2.395 20
-1.195 -4.795 -5.349 20
-1.894 0.338 -4.786 20
-3.578 -2.463 1.735 20
1.737 -9.459 0.225 21
4.051 -8.069 -2.173 20
-4.686 -9.586 -5.103 20
-8.876 -2.073 -2.764 20
-3.827 2.697 -3.991 20
-1.506 -4.188 -5.135 21
-3.507 -8.271 -1.058 20
-4.047 -3.927 -1.638 20
-3.457 0.319 -1.683 20
-2.397 2.689 1.119 20
-2.541 4.533 0.035 20
-2.841 5.972 -0.032 21
-0.975 4.411 0.886 20
1.151 3.684 -1.78 20
1.264 4.971 -1.044 20
0.461 6.423 1.112 20
1.863 6.341 0.02 21
1.397 4.456 -1.852 20
-0.208 3.679 -0.164 20
-0.194 4.419 1.045 20
-0.034 4.995 1.094 20
-0.067 4.4 0.784 20
-0.559 3.921 0.537 21
-0.753 3.538 0.35 20
-0.511 3.249 0.537 20
-0.452 2.784 -0.132 20
-0.445 1.999 -0.425 20
-0.506 1.115 -1.014 20
-0.236 0.508 -1.713 21
0.714 0.065 -1.181 20
0.528 0.097 -1.466 20
-0.207 0.025 -2.074 20
-0.76 0.419 -0.929 20
1.182 -1.429 -4.415 21
1.189 -3.573 -6.084 20
1.256 -2.711 -2.561 20
4.045 -2.891 -4.234 20
0.926 0.942 1.121 20
-0.211 4.006 3.303 20
-0.177 3.178 -0.219 21
0.191 1.601 1.662 20
-0.157 0.512 0.916 20
-0.312 -0.871 -0.276 20
-0.446 -1.771 -0.816 20
-0.016 -1.768 -0.249 20
-0.001 -1.699 -1.39 21
0.373 -1.857 -0.921 20
-0.103 -1.003 0.248 20
-1.069 -0.355 0.111 20
-1.059 -0.447 1.331 20
-0.997 -0.768 2.168 20
-0.944 -1.259 1.44 21
-1.009 -1.268 0.871 20
-0.509 -1.385 0.213 20
0.597 -1.965 1.239 20
1.365 -2.16 1.094 20
2.569 -2.3 0.844 21
3.086 -1.622 1.984 20
2.78 -1.015 0.828 20
2.633 -0.996 0.181 20
2.603 -1.489 1.323 20
1.049 -1.782 0.056 20
-0.014 -2.253 -0.123 21
-0.435 -2.316 0.867 20
-1.093 -1.313 1.669 20
-1.009 -0.968 -0.565 20
-0.895 -1.761 -1.418 20
-0.325 -2.12 1.053 20
1.007 -1.789 2.034 21
2.557 -1.873 1.74 20
2.804 -1.535 0.728 20
2.756 -0.756 0.758 20
2.431 -0.512 1.454 20
0.851 -0.362 2.359 21
-1.018 0.089 2.463 20
-2.341 0.402 1.07 20
-2.831 0.057 -0.263 20
-2.494 -0.631 -0.185 20
-1.79 -0.585 0.7 20
-0.552 -0.319 0.602 21
0.696 -0.984 -0.704 20
1.191 -2.72 -0.433 20
-0.261 -2.252 -0.032 20
-1.643 -0.966 -0.774 20
-0.799 -1.591 -0.016 21
0.075 -1.605 -0.083 20
1.184 -1.099 -0.295 20
1.62 -0.211 -0.858 20
1.734 0.568 0.018 20
1.623 1.725 0.816 20
-0.058 2.997 0.659 21
-1.143 3.187 1.511 20
-1.003 2.413 1.682 20
0.034 1.376 -0.907 20
0.611 0.275 -2.771 20
-0.122 -0.082 -1.858 20
0.577 0.286 -0.379 21
2.643 0.21 -0.168 20
3.982 -0.317 -0.326 20
3.953 -0.184 0.012 20
2.635 0.722 0.269 20
1.116 1.055 -0.113 21
-0.135 0.751 -0.392 20
-0.6 0.57 0.008 20
-0.398 1.009 0.41 20
0.072 1.544 -0.408 20
0.266 1.195 -1.421 20
-0.126 0.966 -0.951 21
0.077 1.288 -0.382 20
0.856 1.941 -0.605 20
1.318 1.976 -0.259 20
1.109 1.785 0.856 20
0.705 1.776 0.478 20
0.891 1.021 -0.615 21
1.041 0.074 -0.534 20
0.695 -0.073 0.129 20
-0.141 0.265 0.017 20
-0.513 0.724 0.131 20
-0.884 1.145 0.603 21
-0.875 1.453 0.191 20
0.225 0.775 -1.314 20
0.998 -0.235 -1.81 20
-0.649 0.24 -0.208 20
0.46 0.385 0.074 20
1.173 0.262 -2.015 21
-1.138 2.079 2.06 20
-1.015 2.486 1.132 20
-0.733 2.744 0.699 20
0.318 2.262 0.397 20
0.972 1.583 0.046 21
1.116 1.552 -0.451 20
0.457 1.511 0.18 20
-0.452 1.427 0.034 20
-0.717 1.344 -0.046 20
-0.559 1.617 1.068 20
-1.219 2.249 0.317 21
-0.642 1.772 0.369 20
-0.326 1.59 -0.197 20
0.848 0.722 -0.201 20
1.803 0.018 0.07 20
1.767 0.109 -0.188 20
1.323 -0.043 0.14 21
0.824 -0.268 -0.009 20
0.491 -0.476 0.097 20
0.375 -0.786 0.564 20
0.467 -0.934 0.6 20
0.274 -1.024 1.312 20
0.074 -1.152 0.829 21
0.043 -1.507 0.703 20
-0.112 -1.925 0.18 20
0.119 -2.304 -0.01 20
0.512 -2.569 -0.125 20
0.631 -2.778 -0.039 20
0.51 -2.746 0.156 21
0.392 -2.603 0.088 20
0.256 -2.293 0.06 20
0.127 -1.822 0.41 20
-0.09 -1.437 -0.018 20
-0.113 -1.625 -0.333 21
0.317 -2.508 -0.6 20
0.758 -3.627 -0.857 20
0.007 -4.124 1.007 20
-1.068 -3.587 1.997 20
-1.731 -2.199 1.004 20
-1.804 -1.046 0.073 21
-1.231 -0.872 0.359 20
-0.33 -1.296 0.664 20
-0.784 -0.802 0.492 20
-1.128 0.247 0.126 20
-1.354 0.992 0.639 21
-2.158 1.303 1.017 20
-2.151 0.916 0.629 20
-0.737 -0.628 -0.628 20
0.54 -1.565 -1.475 20
0.851 -1.049 -1.295 20
-0.178 -0.196 -0.639 21
-0.725 0.245 0.191 20
0.237 -0.046 -0.5 20
1.427 -0.535 -1.381 20
1.489 -0.587 -0.829 20
0.782 -0.371 0.029 20
0.9 -0.711 -0.421 21
1.539 -1.334 -0.97 20
1.346 -0.989 -0.689 20
0.487 0.176 -0.163 20
-0.154 1.09 0.132 20
-0.371 1.459 0.979 21
-0.625 1.9 1.582 20
-0.448 2.294 1.197 20
-0.026 2.157 -0.564 20
0.146 1.556 -1.892 20
-0.152 1.506 -0.985 20
-0.805 2.293 0.141 21
-0.128 2.678 0.455 20
0.841 2.233 0.142 20
0.453 1.9 0.141 20
-0.262 2.298 0.336 20
0.648 2.845 -1.312 20
1.27 2.901 0.252 21
-1.505 3.001 1.732 20
-0.798 2.019 -1.5 20
1.182 0.897 -0.268 20
1.618 0.988 1.039 20
0.43 1.737 -0.142 21
-0.505 3.255 0.046 20
-1.625 3.038 0.71 20
-1.074 2.193 0.466 20
-0.482 1.238 0.945 20
-0.791 1.293 0.778 20
-0.652 0.879 0.217 21
-0.24 0.28 0.219 20
-0.123 -0.109 1.359 20
-0.645 0.052 1.124 20
-0.63 0.258 -0.264 20
0.258 0.469 -1.238 20
1.866 0.082 -1.261 21
3.156 -0.788 -1.395 20
4.158 -1.944 -0.098 20
3.033 -2.839 -0.284 20
1.587 -4.107 -0.443 20
-0.229 -4.707 0.993 21
-1.444 -4.146 1.24 20
-1.728 -2.977 0.633 20
-1.189 -1.593 0.229 20
-0.466 -0.176 0.049 20
0.297 0.347 -0.52 20
1.302 -0.469 -0.334 21
1.187 -1.863 0.188 20
0.103 -3.44 0.277 20
-0.937 -4.512 0.301 20
-1.641 -4.091 0.021 20
-1.742 -2.496 0.081 20
-1.643 -1.201 0.273 21
-1.738 -0.496 0.069 20
-0.962 -0.46 0.254 20
-0.316 -0.981 -0.212 20
0.033 -1.48 -0.81 20
0.619 -2.138 -0.684 21
0.095 -1.685 -0.376 20
-0.224 -0.253 0.167 20
0.05 0.705 0.448 20
0.133 0.831 -0.068 20
-0.207 0.282 0.07 20
-0.462 0.003 0.371 21
-0.459 0.078 -0.137 20
-0.09 -0.075 -0.369 20
0.039 -0.553 -0.391 20
0.425 -0.954 -0.345 20
0.467 -0.701 -0.53 20
0.929 -0.176 -0.139 21
0.741 0.386 0.251 20
0.656 1.089 0.021 20
0.826 1.361 -0.452 20
0.902 1.342 -0.154 20
0.314 1.458 0.043 21
