# Accelerometer Data File
# Started @Sun Jan 24 21:08:29 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.344 2.781 -0.45 20
-2.014 2.38 -0.888 20
-1.269 1.568 0.843 21
-0.495 2.752 0.131 20
0.004 3.029 -0.086 20
-0.645 2.174 -0.957 20
-1.93 1.972 -2.457 20
-0.081 1.703 -2.7 21
0.567 1.257 -1.893 20
0.751 0.801 0.332 20
0.18 0.836 0.776 20
-1.182 0.952 0.056 20
-1.799 0.827 -0.456 20
-1.526 0.173 -0.999 21
-0.55 0.076 0.596 20
-0.159 0.148 0.164 20
-0.05 0.099 -0.108 20
-0.892 0.209 -0.153 20
-0.973 -0.015 -0.548 20
-0.356 -0.51 -0.631 21
-0.135 -0.114 0.483 20
0.268 0.078 0.806 20
0.057 -0.007 0.27 20
0.065 -0.526 -1.164 20
0.925 -0.762 -1.813 21
2.766 -1.128 -0.706 20
3.401 -0.978 -0.552 20
2.611 -0.445 -1.367 20
2.643 -0.928 -1.31 20
2.184 -0.87 -0.755 20
1.175 0.201 -0.252 21
1.105 0.705 -0.714 20
1.432 0.641 -0.164 20
1.862 0.253 -0.753 20
2.435 -0.767 -1.327 20
2.65 -1.197 -0.455 20
2.758 -1.297 -0.5 21
2.668 -1.206 -0.389 20
2.485 -1.118 -0.568 20
2.465 -1.278 -0.065 20
2.443 -1.715 0.247 20
2.03 -2.186 0.377 21
0.717 -2.083 1.12 20
-0.359 -1.966 1.415 20
-0.603 -1.95 0.987 20
-0.706 -1.861 0.058 20
-0.418 -1.759 -0.518 20
0.431 -1.581 0.404 21
0.724 -1.369 1.068 20
0.717 -1.277 0.634 20
1.216 -1.578 0.213 20
1.916 -1.877 0.816 20
2.962 -2.306 1.834 20
1.719 -2.19 0.812 21
0.944 -3.15 -1.01 20
-0.122 -4.65 -0.198 20
-1.246 -4.246 1.348 20
-1.839 -2.51 0.499 20
-1.239 -1.58 1.085 20
0.194 0.054 2.212 21
0.886 2.075 1.98 20
1.386 1.958 1.857 20
1.123 0.003 0.926 20
1.301 -2.152 -1.074 20
1.389 -2.989 -2.31 21
1.131 -2.296 -1.719 20
0.788 -0.824 -0.398 20
0.601 0.279 0.754 20
0.823 0.654 1.526 20
0.708 0.714 1.084 20
0.653 0.429 0.51 21
0.441 -0.12 0.12 20
-0.2 -0.375 -0.061 20
-0.693 -0.443 -0.104 20
-0.893 -0.675 -0.383 20
-0.51 -0.961 -0.487 21
0.027 -0.642 -0.121 20
0.279 0.046 0.291 20
-0.179 0.587 0.465 20
-0.493 1.276 1.013 20
-0.664 1.91 0.659 20
-0.529 1.766 -0.244 21
-0.389 1.115 -1.093 20
-0.51 0.689 -1.62 20
-0.444 0.516 -1.818 20
0.13 0.456 -1.785 20
1.197 0.393 -1.263 20
1.379 0.093 -0.313 21
0.336 0.28 -0.146 20
0.123 0.357 -0.634 20
0.231 0.257 -0.512 20
-0.114 1.037 -0.049 20
-0.523 1.93 -0.1 21
-0.074 1.963 -0.276 20
0.426 1.855 0.167 20
0.258 1.93 -0.157 20
0.077 1.623 -0.564 20
-0.192 1.454 -0.156 20
-0.206 1.617 -0.27 21
-0.26 1.688 -0.32 20
0.006 2.05 -0.95 20
0.212 2.461 0.479 20
-0.295 2.577 0.385 20
-1.007 2.854 -0.957 20
-0.469 2.403 0.787 21
-0.648 2.096 0.581 20
-1.334 2.47 0.206 20
-0.556 2.025 0.595 20
-0.153 1.915 0.383 20
-0.237 1.831 0.372 20
-0.465 1.631 0.066 21
-0.457 1.655 0.031 20
-0.67 1.718 -0.129 20
-0.329 1.585 0.181 20
0.047 1.237 0.307 20
0.019 0.831 -0.272 21
0.252 0.349 -0.573 20
0.227 -0.015 -0.694 20
0.446 -0.488 -0.269 20
0.455 -0.37 0.382 20
0.002 0.117 0.238 20
-0.267 0.398 0.165 21
0.078 0.281 0.625 20
0.378 -0.119 -0.202 20
1.233 -1.095 -0.896 20
2.052 -1.744 -0.06 20
1.34 -1.583 -0.632 21
0.488 -1.862 -0.821 20
0.127 -1.794 -0.489 20
0.041 -1.561 -0.08 20
0.099 -1.506 -0.011 20
0.139 -1.593 0.427 20
0.368 -1.692 0.94 21
0.482 -1.721 0.615 20
0.29 -1.868 0.243 20
0.213 -2.175 0.51 20
0.041 -2.216 0.209 20
0.274 -2.736 0.203 21
0.242 -3.073 -0.176 20
-0.044 -2.985 -0.639 20
-0.145 -2.971 -0.369 20
-0.241 -2.793 0.002 20
-0.385 -2.149 0.075 20
0.026 -1.764 0.591 21
0.14 -1.335 0.601 20
0.279 -1.18 0.28 20
0.201 -1.282 0.232 20
0.172 -1.524 0.056 20
0.685 -2.154 0.701 20
0.27 -1.693 0.739 21
0.029 -1.021 0.588 20
-0.404 -0.745 0.785 20
-0.463 -0.485 1.168 20
-0.416 0.037 1.217 20
-0.407 0.456 1.378 20
-0.345 0.581 1.372 21
-0.209 0.147 0.773 20
-0.02 -0.272 -0.095 20
0.214 -0.749 -0.878 20
0.281 -1.329 -1.243 20
0.512 -1.498 -0.83 21
0.54 -1.34 -0.038 20
0.212 -0.859 0.222 20
0.31 -0.051 0.486 20
0.285 0.43 0.11 20
-0.187 0.631 -0.892 20
-0.155 0.699 -0.566 21
0.148 0.924 0.357 20
-0.141 1.339 -0.51 20
0.15 1.024 -1.091 20
0.435 0.559 -0.591 20
0.372 0.79 0.038 20
0.496 1.017 -0.342 21
0.438 1.021 -0.789 20
-0.036 1.156 -0.582 20
-0.017 1.592 0.053 20
0.145 1.976 0.55 20
-0.08 2.253 -0.05 21
-0.333 1.978 -0.955 20
-0.506 1.487 -0.434 20
-0.917 1.843 0.621 20
-0.87 1.785 0.012 20
-0.341 1.626 -0.364 20
0.317 1.701 0.648 21
0.509 1.871 0.269 20
0.073 1.941 -0.624 20
0.798 1.693 -2.683 20
1.141 1.213 -3.279 20
-0.029 1.482 1.457 20
-1.097 2.427 0.705 21
0.204 1.578 0.257 20
0.104 1.653 1.109 20
-0.932 1.589 -0.622 20
-1.009 1.762 0.515 20
-1.893 2.265 0.899 21
-1.378 2.008 0.542 20
-1.107 1.794 0.276 20
-0.569 1.992 0.66 20
0.31 1.603 1.142 20
0.21 1.098 0.187 20
-0.17 0.889 -0.189 21
-0.101 0.593 -0.375 20
0.382 0.447 -0.227 20
0.795 0.211 -0.217 20
0.81 -0.111 -1.03 20
1.02 -0.035 -0.065 20
1.414 -0.006 0.601 21
1.438 -0.374 -0.452 20
1.169 -0.584 0.213 20
0.815 -0.485 1.358 20
0.561 -0.922 -1.032 20
0.425 -1.614 -1.673 21
0.478 -1.931 1.176 20
0.464 -2.247 0.038 20
0.827 -2.986 -0.51 20
0.921 -3.235 1.064 20
0.277 -2.605 0.098 20
-0.025 -2.232 -0.659 21
-0.068 -2.143 0.313 20
-0.313 -1.995 0.575 20
-0.461 -2.22 -0.258 20
0.134 -3.055 0.602 20
0.209 -3.323 0.934 21
-0.272 -2.868 -1.118 20
0.189 -3.027 -1.955 20
1.153 -3.401 0.145 20
0.415 -2.828 1.028 20
-1.038 -1.875 0.31 20
-2.109 -1.235 -0.457 21
-1.547 -0.926 -0.642 20
-0.085 -0.829 0.292 20
0.013 -0.425 1.408 20
-0.069 0.208 2.024 20
0.092 0.275 1.563 21
0.38 -0.325 0.654 20
0.702 -0.536 0.043 20
0.505 -0.465 -0.577 20
0.292 -0.5 -0.123 20
-0.279 -0.584 0.048 20
-0.301 -0.541 -0.27 21
-0.57 -0.185 -1.142 20
-0.308 0.449 -0.267 20
-0.088 0.941 0.636 20
0.556 0.918 -0.175 20
0.858 0.458 -1.412 21
0.852 -0.13 -1.072 20
0.894 -0.382 -0.124 20
0.608 -0.073 0.17 20
0.112 0.628 -0.185 20
-0.075 1.361 -0.483 20
-0.251 1.776 -0.527 21
-0.279 1.845 -0.015 20
-0.215 1.901 0.261 20
-0.284 2.112 0.041 20
-0.214 1.938 -0.036 20
-0.15 1.683 -0.013 20
0.198 1.455 -0.656 21
0.554 1.111 -0.629 20
-0.083 1.569 0.151 20
-0.499 1.817 0.118 20
-1.137 2.181 0.257 20
-1.191 2.659 -0.086 20
-0.783 3.092 0.684 21
-1.112 3.757 0.793 20
-1.859 2.493 -0.499 20
