# Accelerometer Data File
# Started @Sun Jan 24 21:11:12 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.736 3.739 9.482 0
1.125 3.132 7.943 20
2.121 1.338 5.461 20
3.666 -0.638 2.248 20
3.308 -1.821 3.827 20
2.238 -3.838 7.802 20
-1.148 4.854 2.138 21
0.863 4.263 -1.192 20
1.915 2.306 2.604 20
1.823 0.838 6.069 20
1.224 -0.278 5.242 20
0.587 -0.179 3.854 20
-0.668 1.061 2.69 21
-0.09 1.552 1.787 20
4.775 0.14 1.375 20
2.771 -0.182 1.223 20
-1.241 -1.183 1.215 20
0.941 -0.806 4.176 20
-1.14 0.382 7.566 21
-1.19 -1.585 4.362 20
0.291 -0.737 -1.249 20
0.076 -0.331 -0.532 20
0.556 -0.718 1.036 20
1.294 -0.823 1.204 21
1.951 -0.855 -1.065 20
1.165 -2.58 -2.4 20
-1.863 1.635 1.088 20
1.144 0.195 0.811 20
5.588 -1.958 -0.574 20
5.231 -2.627 -1.116 21
3.115 -2.571 -2.578 20
1.795 -2.822 3.045 20
2.16 -3.411 3.096 20
0.843 -3.426 0.644 20
-1.476 -2.126 -1.776 20
-2.236 -1.674 -1.411 21
-2.884 -0.955 -0.599 20
-3.382 -0.794 0.451 20
-0.575 -3.261 -3.407 20
-0.541 -1.993 -4.31 20
0.122 -0.927 -6.043 20
1.653 -0.81 -9.169 21
5.519 1.585 -10.457 20
13.335 0.911 -8.34 20
5.811 -3.1 -7.381 20
-1.213 0.598 -4.351 20
2.439 -1.069 0.488 21
3.747 -2.599 1.806 20
1.725 -0.431 0.765 20
2.238 0.456 -1.611 20
3.791 0.288 -2.793 20
3.662 -0.339 -2.798 20
2.371 -0.42 -2.732 21
2.241 0.831 -2.267 20
4.175 1.129 -4.728 20
5.185 -0.229 -6.666 20
0.352 1.762 -6.706 20
-1.965 3.746 -8.595 21
1.066 1.668 -0.302 20
1.136 0.559 3.964 20
-0.266 1.079 3.248 20
-2.249 2.413 -2.347 20
-1.931 2.269 -5.128 20
-2.641 1.328 -0.29 21
-3.037 1.338 -0.703 20
-5.641 -0.117 -3.289 20
-6.42 1.03 1.972 20
-0.371 -7.247 -3.979 20
4.94 -6.559 -4.739 20
-5.403 1.085 -1.345 21
-10.869 2.678 -0.456 20
-0.279 -3.143 0.574 20
11.009 -15.4 7.178 20
8.248 -12.077 -2.952 20
-4.738 -4.64 -10.002 20
-6.239 -5.966 -3.622 21
-2.34 -6.234 0.604 20
-5.67 -0.139 4.157 20
-3.475 0.336 2.463 20
-0.105 -2.719 -3.45 20
0.575 -4.11 -1.855 20
1.248 -3.039 0.742 21
-0.208 0.168 0.306 20
-0.536 3.659 -1.334 20
0.456 1.575 -2.809 20
-0.666 -2.018 -2.459 20
-3.001 -2.013 -0.156 21
-2.479 0.139 -0.779 20
-1.981 3.068 -1.867 20
-0.685 3.785 -1.029 20
-0.91 2.863 0.825 20
-1.914 2.635 1.471 20
-3.331 2.684 -0.044 21
-2.437 2.53 -1.896 20
-2.914 1.93 -1.124 20
-4.394 -0.058 -0.809 20
-2.728 -1.898 -0.038 20
-3.816 1.305 -2.796 20
-5.301 0.454 -4.765 21
-3.13 -5.661 -2.068 20
-1.429 -8.12 -0.736 20
-0.229 -4.82 -1.902 20
-0.131 -2.846 -2.817 20
-1.866 -6.278 -1.345 21
-3.995 -6.051 -2.733 20
-5.208 0.339 -1.358 20
-3.864 1.621 -1.28 20
-3.055 -1.848 -0.357 20
-0.222 -3.702 -1.341 20
0.157 -0.092 -1.198 21
0.676 1.042 -1.132 20
0.931 0.672 -1.187 20
0.286 0.325 0.916 20
-2.699 5.398 -0.75 20
-3.318 5.759 -3.405 20
-1.343 2.747 0.432 21
-0.915 3.766 1.822 20
0.868 8.414 2.418 20
2.956 6.001 0.279 20
1.567 2.103 -0.627 20
0.645 3.951 1.222 20
1.066 5.397 1.718 21
0.845 4.901 1.361 20
0.241 4.484 1.313 20
0.277 4.139 0.876 20
0.003 3.63 -0.714 20
0.439 2.314 -1.962 21
1.259 -0.163 -3.824 20
0.101 0.48 -1.898 20
2.66 1.137 1.322 20
1.109 1.989 -3.253 20
0.796 1.068 -4.624 20
2.1 -0.966 -3.931 21
3.035 -2.154 -2.913 20
0.679 1.288 1.828 20
-0.768 2.707 -0.303 20
-0.678 2.434 -0.585 20
0.271 2.609 3.105 21
-0.458 1.82 0.69 20
-1.352 0.888 -1.019 20
0.14 -0.645 -0.19 20
0.74 -1.581 -0.891 20
0.541 -1.241 -0.535 20
-0.294 0.231 -0.056 21
-1.198 0.803 0.235 20
