# Accelerometer Data File
# Started @Sun Jan 24 21:13:48 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.77 6.423 6.19 0
0.099 5.71 5.435 20
0.371 4.692 5.109 20
0.196 3.613 4.391 20
0.241 3.118 4.343 20
0.245 3.459 4.549 20
0.93 1.242 3.764 21
1.775 -1.337 3.549 20
1.709 -0.308 5.801 20
-0.457 4.322 3.782 20
-0.276 3.871 0.662 20
0.861 1.506 0.699 20
0.079 1.761 3.466 21
1.761 0.326 5.047 20
1.792 -1.745 4.605 20
0.869 -0.676 3.761 20
1.205 0.533 0.713 20
0.75 0.301 -3.257 20
-1.03 1.48 -2.425 21
-1.133 2.731 2.816 20
3.759 -0.801 3.917 20
1.811 0.861 -0.318 20
2.257 0.788 -0.911 20
4.66 -1.047 1.339 21
3.683 -1.108 0.427 20
2.066 -1.051 -0.188 20
3.06 -1.653 0.161 20
4.757 -2.885 -2.117 20
3.341 -3.858 -4.702 20
-1.092 0.802 -3.093 21
-1.164 3.074 -0.02 20
-1.874 2.157 0.647 20
-0.824 -0.001 -0.324 20
-1.513 -0.199 0.462 20
0.789 -2.083 -0.659 20
3.513 -4.474 -2.038 21
1.766 -1.944 -2.584 20
1.171 -1.232 -3.563 20
-0.234 -1.946 -1.335 20
0.008 -1.044 -1.484 20
4.293 -1.841 -3.604 20
6.587 -0.755 -2.202 21
11.939 3.849 -0.369 20
9.764 -0.263 -8.277 20
1.604 1.746 -2.913 20
-0.675 0.179 2.508 20
-0.583 -0.713 4.06 21
-0.081 -0.819 3.057 20
0.601 -1.006 1.96 20
-0.023 -0.216 1.473 20
0.621 0.089 -2.552 20
0.27 0.995 -5.542 20
1.116 0.707 -2.342 21
2.785 -0.326 0.653 20
3.459 0.396 0.767 20
3.489 0.479 -4.498 20
2.342 -0.187 -12.498 20
-0.858 0.555 -12.283 21
-2.087 0.631 -6.382 20
2.609 -1.574 -2.515 20
3.793 -1.964 -1.112 20
-0.501 0.105 -1.173 20
-0.69 -0.485 0.082 20
1.243 -2.303 0.041 21
0.974 -1.624 -1.831 20
0.42 -0.265 -2.879 20
-1.128 0.707 -3.298 20
-0.765 0.893 -1.36 20
5.054 -0.276 1.735 20
5.868 1.37 -0.598 21
1.376 0.17 -5.529 20
-4.497 -1.646 -4.29 20
-19.829 -1.816 -1.945 20
-21.075 -3.926 -1.002 20
0.275 -13.136 1.316 20
17.363 -14.271 7.725 21
-17.558 -1.431 -5.488 20
-17.566 -0.542 -2.201 20
11.941 -12.586 3.925 20
19.758 -7.956 9.737 20
11.134 -2.025 -4.857 21
4.376 -0.13 -7.372 20
-3.171 0.24 -2.972 20
-2.767 0.287 1.27 20
-5.815 1.448 1.468 20
-5.425 2.08 -0.831 20
-2.024 2.064 -2.128 21
0.016 2.131 -1.193 20
0.273 -0.269 -0.06 20
-3.377 -3.504 4.192 20
-4.324 -10.199 -2.461 20
-2.255 -12.536 -7.54 21
-3.065 -6.46 0.649 20
-0.044 -4.229 3.686 20
-1.885 -3.194 -0.851 20
-4.036 -1.822 -1.958 20
