# Accelerometer Data File
# Started @Tue Jan 26 20:27:20 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-2.894 1.546 9.946 0
-2.316 1.648 9.322 20
-2.164 1.742 8.489 20
-1.93 1.648 8.017 20
-2.104 1.453 7.228 20
-2.676 1.426 6.279 20
-2.555 1.016 5.427 21
-1.944 0.537 4.408 20
-1.163 0.365 3.486 20
-0.492 0.429 2.663 20
-0.191 0.492 2.125 20
-0.284 0.829 1.967 21
0.319 0.306 1.352 20
0.695 0.282 1.223 20
0.608 0.409 1.353 20
0.627 0.185 1.25 20
1.377 0.944 0.334 20
1.394 2.266 -0.54 21
1.039 1.255 -0.915 20
1.14 0.399 -0.575 20
0.705 0.874 -0.39 20
-0.048 1.694 -0.707 20
-0.38 1.576 -1.078 21
0.196 1.177 -0.054 20
0.151 1.228 0.448 20
0.282 0.818 1.214 20
-0.234 0.816 1.795 20
-0.612 0.506 1.075 20
-0.874 0.5 0.016 21
-1.298 1.494 -1.282 20
-1.442 1.789 -2.7 20
-1.131 1.446 -2.412 20
-0.943 1.105 -0.707 20
-1.101 1.137 -0.259 21
-1.939 1.064 0.507 20
-0.956 0.574 1.228 20
-0.056 0.557 1.636 20
-0.38 0.829 1.492 20
-0.385 0.837 0.172 21
0.428 0.645 0.428 20
0.715 0.387 1.455 20
0.734 -0.675 1.344 20
0.749 -0.666 -0.579 20
0.237 0.146 -1.468 20
-0.148 0.224 -1.375 21
-0.425 0.107 -0.834 20
-0.587 0.68 -1.387 20
-2.218 0.856 -1.108 20
-0.431 0.22 -0.779 20
0.917 0.125 -0.19 21
0.862 0.356 -0.206 20
1.444 0.482 0.14 20
1.699 0.063 -0.594 20
1.408 -0.576 1.502 20
0.567 -1.04 1.201 20
-0.095 -0.369 -0.268 21
-0.721 -0.015 -0.752 20
-0.664 -0.339 -0.631 20
-0.777 -1.243 1.009 20
-0.747 -1.429 2.71 20
-0.042 -1.577 2.853 21
0.547 -1.532 2.514 20
0.801 -1.775 2.89 20
-0.664 -2.432 0.779 20
-2.28 -0.897 0.022 20
0.826 -3.636 3.077 21
2.084 -4.536 2.741 20
4.264 -4.382 1.1 20
4.224 -3.426 1.751 20
2.639 -2.452 1.091 20
1.373 -1.892 -0.296 20
0.781 -1.869 -0.176 21
1.895 -1.986 -0.328 20
1.707 -1.817 -1.233 20
2.155 -2.105 -0.924 20
2.938 -1.96 -0.974 20
2.896 -0.888 -0.92 21
2.018 -0.711 -1.274 20
1.76 -0.411 -1.608 20
2.248 -0.571 -1.577 20
3.429 -1.242 -0.949 20
4.216 -1.892 -0.261 21
2.802 -2.0 -0.517 20
-8.886 1.845 2.306 20
-6.156 3.467 3.444 20
4.988 -1.428 3.52 20
8.866 -3.726 -1.02 20
0.927 -0.33 -10.891 21
-4.427 3.136 -2.058 20
-0.149 -0.46 0.663 20
2.849 -3.195 2.209 20
6.722 -3.893 3.528 20
6.865 -3.368 0.892 21
2.524 -1.623 -8.029 20
3.96 1.729 5.497 20
2.695 0.678 -3.402 20
3.758 -1.661 0.197 20
1.918 -2.113 0.893 20
0.523 -2.09 1.69 21
0.132 -1.702 1.696 20
0.354 -1.579 2.835 20
0.573 -1.762 -0.067 20
-2.34 -0.85 -3.118 20
-2.276 -0.334 -2.301 21
-0.222 -0.941 -3.667 20
0.926 -0.702 -4.606 20
-0.631 0.613 -4.04 20
-1.392 1.063 -3.468 20
-0.371 0.594 -3.854 21
-0.2 0.246 -3.676 20
-0.939 0.226 -2.762 20
-1.017 -0.221 -2.329 20
0.209 -0.977 -1.919 20
0.582 -1.282 -0.927 20
-0.018 -1.04 0.378 21
-0.077 -0.791 1.287 20
0.926 -0.906 2.07 20
1.866 -0.833 3.614 20
2.727 -0.844 4.673 20
4.339 -1.37 4.76 21
4.879 -1.362 3.473 20
3.525 -0.126 0.006 20
3.375 0.269 -2.768 20
4.163 -0.906 -2.468 20
4.801 -1.74 -0.028 21
5.981 -3.705 0.694 20
8.659 -7.918 -5.929 20
5.543 -6.162 -8.149 20
1.422 -2.927 -6.485 20
0.073 -1.554 -2.885 20
0.046 -1.769 -1.38 21
-0.574 -1.135 -1.801 20
-1.961 0.208 -0.521 20
-4.555 2.242 -0.68 20
-5.514 3.191 0.784 20
-3.459 0.851 3.002 21
-2.081 -1.147 4.555 20
-1.517 -2.718 2.315 20
-3.556 -3.869 1.204 20
-6.279 -1.242 -16.232 20
-1.718 1.565 -22.181 20
3.062 0.158 -13.279 21
2.818 -0.784 -5.526 20
0.915 -0.235 -0.334 20
-0.611 -0.08 2.16 20
-0.826 -0.624 2.906 20
0.579 0.371 2.906 21
-0.226 -0.463 5.597 20
-5.168 -2.407 10.425 20
-2.968 2.656 -5.633 20
2.226 -0.48 -0.949 20
5.093 -5.395 7.18 21
5.608 -3.685 4.375 20
2.482 -1.137 2.353 20
1.416 -1.545 4.698 20
1.51 -0.517 2.055 20
1.941 -2.274 6.463 20
-0.363 0.141 3.301 21
-0.215 1.155 -0.163 20
-0.197 0.511 6.217 20
-4.024 6.1 -1.253 20
-5.131 8.135 -8.76 20
-5.044 4.937 -8.949 21
-3.574 3.874 -6.392 20
-2.229 1.579 -1.467 20
-0.652 0.97 -0.19 20
-0.067 -0.003 1.184 20
1.689 -1.113 2.788 21
2.057 -1.235 0.772 20
0.377 -0.419 -2.84 20
-0.919 0.111 -2.287 20
-0.929 0.406 0.345 20
0.694 1.812 -0.532 20
1.489 2.875 -2.792 21
2.052 3.282 -3.179 20
3.23 4.247 -3.421 20
2.213 3.624 -2.859 20
3.708 3.253 -2.22 20
1.093 1.526 -0.648 21
-3.008 -0.26 1.501 20
-1.839 -2.224 1.812 20
0.496 -1.4 -3.127 20
1.509 0.714 -5.198 20
2.622 1.216 -3.275 20
3.659 1.191 0.63 21
2.211 1.689 3.195 20
0.36 1.395 4.01 20
1.613 -0.324 0.174 20
0.04 0.206 -2.02 20
-1.449 0.836 -0.341 21
-1.351 1.925 3.245 20
2.304 3.828 0.446 20
5.43 5.744 -1.961 20
4.119 5.697 -0.762 20
3.354 3.534 -3.277 20
1.951 0.018 -2.993 21
0.465 -3.501 1.911 20
-2.105 -4.934 3.485 20
-6.028 -3.345 2.18 20
-5.658 -2.349 -0.109 20
-1.683 -0.989 0.207 21
-0.131 1.03 1.089 20
0.91 1.419 1.353 20
-0.082 1.473 -0.016 20
-1.322 1.071 -1.056 20
-0.713 0.309 -1.821 21
-0.493 0.194 -1.592 20
1.397 -0.26 -0.184 20
3.273 -0.782 0.59 20
2.939 -0.716 1.775 20
2.604 -1.309 1.395 20
1.785 -1.764 0.091 21
0.677 -2.226 1.505 20
-2.321 -0.777 3.577 20
-2.497 -0.88 3.885 20
0.693 -3.422 9.309 20
-3.295 -2.235 10.821 21
-2.802 1.664 -0.318 20
-2.021 -0.755 0.198 20
-0.92 -5.235 5.952 20
-1.522 -2.083 1.653 20
-1.9 -0.353 -0.301 20
-2.997 0.005 -0.62 21
-1.285 -0.749 2.623 20
-2.782 2.401 0.015 20
-5.143 4.927 -2.663 20
-4.549 4.064 -1.892 20
-2.255 1.937 -0.705 21
0.192 0.027 -0.162 20
0.999 0.158 -0.594 20
0.925 0.47 -0.94 20
-0.393 1.455 -0.219 20
-0.184 2.248 -0.481 21
1.77 0.514 -1.158 20
1.526 -0.168 -0.874 20
0.675 -0.684 -0.821 20
0.972 -0.952 -1.92 20
2.608 -2.191 -0.928 20
3.832 -0.987 1.182 21
5.31 -0.036 1.406 20
3.908 -0.811 4.03 20
4.138 -4.414 6.539 20
1.35 -4.581 3.134 20
-0.121 -2.197 -4.064 21
-2.825 0.24 -5.613 20
-2.014 -0.275 -2.508 20
-0.564 -0.353 1.308 20
-0.368 -0.559 2.08 20
1.425 -1.258 2.293 20
-1.11 0.301 -1.323 21
-5.207 0.379 -2.05 20
-4.326 -1.103 -0.347 20
-0.858 -0.801 -1.31 20
-1.022 1.628 -1.462 20
-0.355 2.71 -0.087 21
-1.535 3.693 -0.884 20
-1.546 2.867 -0.371 20
-1.622 1.289 0.148 20
-1.436 0.123 -0.709 20
-2.836 -0.031 0.523 21
0.002 -2.015 1.396 20
5.042 -5.192 1.332 20
1.72 -3.774 1.14 20
0.949 -2.444 -0.911 20
1.242 -1.897 -3.398 20
-1.221 -1.934 -3.447 21
0.211 -3.61 0.135 20
1.792 -4.62 1.547 20
0.679 -3.619 -0.534 20
-0.822 -2.841 -1.046 20
-1.582 -2.82 -1.269 21
-2.196 -2.404 -1.187 20
-2.162 -1.618 -2.866 20
-1.133 -0.7 -3.49 20
0.842 -0.569 -2.759 20
1.088 -0.288 -1.575 21
0.679 0.1 0.261 20
0.866 0.463 0.304 20
0.792 0.968 -0.528 20
-0.088 1.639 -1.609 20
-0.726 2.51 -1.886 20
-0.44 2.776 -2.404 21
-0.297 3.661 -1.81 20
0.081 4.114 -1.334 20
0.368 4.272 -1.459 20
1.131 4.28 -1.313 20
1.01 4.358 -0.677 21
0.15 4.283 -0.724 20
-0.052 3.611 -0.252 20
1.125 1.937 0.675 20
2.819 0.208 1.987 20
3.318 -0.983 3.317 21
2.971 -1.387 2.988 20
1.35 -0.593 0.735 20
0.786 0.285 -0.314 20
1.108 1.367 0.286 20
0.579 2.759 1.214 20
1.064 2.315 4.038 21
3.588 -1.322 5.199 20
3.376 -3.551 3.267 20
0.688 -3.53 0.405 20
-1.29 -4.089 0.468 20
-0.68 -5.607 1.68 20
1.252 -7.703 1.672 21
1.659 -7.89 1.263 20
0.154 -5.456 -5.024 20
-6.153 1.509 -16.133 20
-11.029 4.428 -14.971 20
-5.383 -1.94 -2.616 21
0.859 -4.247 5.852 20
3.765 0.892 3.29 20
2.498 3.577 1.982 20
2.212 2.592 5.598 20
5.778 3.348 2.321 20
0.729 3.1 4.646 21
-1.751 4.042 4.0 20
-2.182 5.257 -1.487 20
-3.05 1.78 0.343 20
-2.93 -1.275 0.589 20
-3.062 -2.116 -1.339 21
-2.152 -2.482 -1.198 20
-0.566 -2.507 -0.164 20
0.348 -2.416 0.895 20
0.777 -1.873 0.982 20
-0.04 -0.597 -0.732 21
0.052 -0.591 0.2 20
-0.271 -1.168 0.588 20
-0.613 -2.329 -0.059 20
-2.104 -2.111 -2.414 20
-3.191 -1.941 -3.461 20
-3.525 -1.441 -2.945 21
-0.512 -0.838 -1.958 20
1.095 -0.355 -0.408 20
1.298 -0.087 0.554 20
0.98 0.462 -0.257 20
0.96 0.511 0.119 21
-0.013 1.04 -0.554 20
-0.423 1.05 -0.826 20
0.638 0.68 -0.444 20
-0.746 1.493 -1.337 20
-0.301 1.219 -1.083 20
0.91 1.448 -0.808 21
0.832 2.123 -0.68 20
0.261 3.025 -0.301 20
0.377 3.783 0.088 20
1.933 3.709 -0.895 20
2.181 3.105 0.229 21
0.713 2.594 1.159 20
0.842 1.903 0.387 20
-0.559 1.577 -1.155 20
-0.557 0.477 -0.102 20
1.195 -0.779 1.475 21
4.596 -0.783 2.192 20
1.56 0.771 5.474 20
1.764 -2.183 8.492 20
0.346 -2.847 4.791 20
-3.068 -1.372 0.586 20
-3.831 -2.905 1.159 21
-3.48 -4.432 1.121 20
-2.114 -3.569 -0.579 20
-1.023 -3.153 -0.911 20
1.432 -3.308 0.132 20
0.052 -1.362 -0.864 21
-2.488 0.077 -0.286 20
-0.924 -0.18 0.046 20
-0.34 -0.078 -1.788 20
-0.601 -0.19 -3.034 20
-0.308 -0.087 0.765 20
-1.125 0.261 -0.13 21
-3.683 1.063 -2.458 20
-3.901 1.918 -0.927 20
-2.041 1.664 2.2 20
-0.774 1.215 2.206 20
1.318 0.496 -0.73 21
5.755 -0.982 4.848 20
5.041 -1.429 -3.369 20
0.564 -0.775 -7.094 20
-2.036 -1.987 -3.838 20
3.156 -4.308 2.381 21
2.935 -2.015 9.803 20
-2.803 2.312 6.505 20
-4.931 2.493 0.132 20
-3.61 0.001 -3.732 20
-0.985 -4.782 -5.793 20
-2.952 -5.117 -3.459 21
-4.121 -3.367 0.454 20
0.08 -3.38 -1.919 20
2.685 -2.593 -5.834 20
1.102 -3.237 -3.39 20
-0.48 -2.646 2.407 21
-0.906 1.285 1.108 20
-0.622 2.974 -1.902 20
-0.915 2.853 -1.063 20
-1.356 2.906 0.192 20
-1.481 2.857 -0.547 21
-0.833 3.108 -2.057 20
-0.422 2.834 -2.371 20
-0.763 2.557 -2.123 20
-0.525 1.84 -0.453 20
0.494 0.718 -0.324 20
1.197 0.976 0.842 21
2.438 0.555 0.557 20
3.358 0.547 -2.199 20
1.474 1.889 -1.703 20
-0.511 2.041 -0.136 20
0.197 2.272 0.461 21
3.051 1.254 -3.314 20
5.387 -0.742 -4.934 20
-2.559 1.202 7.996 20
-3.907 -6.312 11.429 20
-5.36 -6.019 4.963 20
-7.842 -3.957 -4.087 21
-6.618 -2.861 -2.415 20
-5.426 -1.574 2.633 20
-0.138 -3.719 0.555 20
4.226 -8.321 -9.34 20
1.343 -6.189 -6.086 20
0.331 -2.231 1.677 21
-2.529 1.691 -1.195 20
-2.531 2.199 -1.498 20
-0.331 1.953 0.382 20
0.385 0.35 2.98 20
0.958 -2.166 2.437 21
-0.359 -0.533 1.167 20
