# Accelerometer Data File
# Started @Tue Jan 26 20:33:17 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.654 4.304 9.245 0
-1.416 3.759 8.435 2
-1.138 3.211 7.779 3
-0.617 2.547 7.391 2
-0.831 2.447 6.837 3
-1.048 2.302 6.188 2
-0.984 1.987 5.502 3
-0.73 1.737 4.991 2
-0.588 1.498 4.52 3
-0.501 1.312 4.163 2
-0.384 1.144 3.843 3
-0.328 1.06 3.435 2
-0.214 0.954 3.051 3
-0.05 0.876 2.756 2
0.075 0.775 2.427 3
0.192 0.713 2.126 2
0.221 0.613 1.721 3
0.164 0.509 1.29 2
0.113 0.389 1.006 3
0.061 0.333 0.78 2
0.132 0.301 0.534 3
0.14 0.28 0.317 2
0.0 0.12 0.016 3
-0.164 -0.029 -0.295 2
-0.197 -0.181 -0.335 3
-0.181 -0.348 -0.312 3
-0.237 -0.43 -0.268 2
-0.193 -0.469 -0.355 3
-0.12 -0.536 -0.408 2
-0.065 -0.597 -0.484 3
0.001 -0.643 -0.472 2
0.012 -0.66 -0.532 3
0.002 -0.648 -0.544 2
-0.013 -0.654 -0.52 3
-0.041 -0.641 -0.532 2
-0.061 -0.574 -0.483 3
-0.094 -0.556 -0.353 2
-0.129 -0.502 -0.1 3
-0.147 -0.407 0.06 2
-0.162 -0.368 0.153 3
-0.211 -0.327 0.228 2
-0.261 -0.234 0.212 3
-0.23 -0.219 0.143 2
-0.252 -0.184 0.086 3
-0.223 -0.118 0.066 2
-0.233 0.011 -0.133 3
-0.227 0.124 -0.202 2
-0.169 0.23 -0.102 3
-0.34 0.313 -0.081 2
-0.397 0.359 -0.191 3
-0.402 0.362 -0.407 3
-0.332 0.44 -0.513 2
-0.238 0.435 -0.52 3
-0.225 0.441 -0.328 2
-0.25 0.388 -0.265 3
-0.193 0.369 -0.214 2
0.11 0.151 -0.214 3
0.194 0.084 -0.288 2
-0.018 0.272 -0.522 3
0.062 0.266 -0.651 2
0.144 0.207 -0.512 3
0.143 0.096 -0.407 2
0.126 -0.021 -0.377 3
0.077 -0.047 -0.35 2
0.087 0.013 -0.486 3
-0.212 -0.03 -0.814 2
0.017 0.021 -1.078 3
0.518 -0.001 -1.179 2
0.789 0.002 -0.787 3
0.883 -0.01 -0.113 2
0.756 -0.026 0.279 3
0.62 -0.015 0.315 2
0.663 -0.037 0.165 3
0.668 -0.031 -0.105 3
0.599 0.016 -0.232 2
0.49 0.064 -0.306 3
0.41 0.023 -0.297 2
0.371 0.053 -0.353 3
0.371 0.046 -0.34 2
0.416 0.015 -0.359 3
0.411 0.011 -0.364 2
0.389 -0.114 -0.218 3
0.378 -0.202 -0.313 2
0.405 -0.147 -0.305 3
0.416 -0.124 -0.126 2
0.422 -0.217 0.082 3
0.369 -0.255 0.201 2
0.41 -0.271 0.328 3
0.457 -0.28 0.424 2
0.428 -0.31 0.399 3
0.332 -0.294 0.283 2
0.281 -0.271 0.182 3
0.257 -0.3 0.181 2
0.268 -0.294 0.165 3
0.259 -0.26 0.109 2
0.205 -0.279 0.155 3
0.154 -0.225 0.152 2
0.119 -0.261 0.15 3
0.137 -0.246 0.111 3
0.167 -0.174 0.108 2
0.163 -0.137 0.212 3
0.116 -0.091 0.288 2
0.109 -0.086 0.317 3
0.087 -0.019 0.425 2
0.085 -0.015 0.428 3
0.074 0.02 0.426 2
0.119 0.033 0.351 3
0.124 0.064 0.297 2
0.107 0.077 0.202 3
0.075 0.082 0.167 2
0.069 0.106 0.217 3
0.045 0.106 0.167 2
0.097 0.156 0.226 3
0.072 0.13 0.233 2
0.015 0.188 0.208 3
0.039 0.193 0.181 2
0.031 0.139 0.219 3
0.032 0.088 0.164 2
0.007 0.013 0.202 3
0.037 0.067 0.363 2
0.061 0.123 0.242 3
0.098 0.102 0.196 2
0.077 0.139 0.181 3
0.042 0.203 0.012 3
0.061 0.217 -0.083 2
0.057 0.225 -0.17 3
0.058 0.199 -0.26 2
0.033 0.2 -0.286 3
-0.015 0.215 -0.363 2
0.046 0.245 -0.435 3
0.059 0.291 -0.387 2
0.063 0.292 -0.434 3
0.098 0.278 -0.524 2
0.123 0.244 -0.55 3
0.106 0.25 -0.467 2
0.115 0.274 -0.409 3
0.051 0.292 -0.431 2
0.055 0.28 -0.314 3
0.021 0.297 -0.171 2
0.062 0.274 -0.117 3
0.093 0.303 -0.03 2
0.073 0.266 0.1 3
0.016 0.287 0.146 2
0.064 0.305 0.101 3
0.074 0.294 0.022 2
0.106 0.306 -0.042 3
0.13 0.31 -0.074 3
0.155 0.322 -0.155 2
0.155 0.302 -0.297 3
0.154 0.309 -0.313 2
0.143 0.31 -0.266 3
0.118 0.303 -0.155 2
0.156 0.324 -0.133 3
0.17 0.35 -0.017 2
0.173 0.38 0.057 3
0.166 0.355 0.071 2
0.119 0.325 0.131 3
0.034 0.36 0.182 2
0.084 0.337 0.237 3
0.102 0.352 0.302 2
0.02 0.35 0.36 3
0.008 0.368 0.341 2
0.011 0.351 0.307 3
-0.026 0.344 0.253 2
-0.014 0.34 0.191 3
-0.058 0.297 0.163 2
-0.126 0.243 0.121 3
-0.111 0.338 0.195 2
-0.104 0.397 0.234 3
-0.188 0.685 0.4 3
-0.191 0.597 0.435 2
-0.125 0.472 0.392 3
-0.073 0.477 0.264 2
-0.036 0.295 0.182 3
0.051 0.173 0.058 2
0.07 0.095 0.03 3
0.065 0.045 -0.06 2
0.112 0.038 -0.065 3
0.12 -0.045 0.014 2
0.162 -0.044 0.041 3
0.217 -0.079 0.123 2
0.217 -0.183 0.238 3
0.202 -0.182 0.274 2
0.153 -0.181 0.285 3
0.153 -0.193 0.375 2
0.125 -0.214 0.368 3
0.106 -0.206 0.392 2
0.028 -0.2 0.467 3
-0.053 -0.223 0.454 2
0.005 -0.136 0.53 3
0.013 -0.084 0.578 2
0.1 -0.09 0.615 3
0.217 -0.096 0.648 2
0.146 -0.042 0.609 3
0.017 -0.024 0.54 3
-0.036 -0.007 0.535 2
-0.071 0.049 0.523 3
-0.021 0.01 0.453 2
0.009 0.054 0.416 3
0.064 0.07 0.405 2
0.072 0.037 0.315 3
0.046 0.031 0.257 2
0.123 0.024 0.214 3
0.18 -0.047 0.249 2
0.205 0.011 0.252 3
0.163 0.018 0.186 2
0.006 0.012 0.189 3
-0.269 -0.059 0.219 2
0.08 -0.021 0.316 3
0.288 0.049 0.28 2
0.194 0.053 0.258 3
0.134 0.069 0.222 2
0.094 0.073 0.23 3
0.165 0.117 0.196 2
0.118 0.162 0.148 3
-0.029 0.26 0.067 2
-0.166 0.307 -0.004 3
-0.255 0.345 -0.133 3
-0.329 0.388 -0.24 2
-0.36 0.442 -0.406 3
-0.357 0.419 -0.507 2
-0.358 0.395 -0.625 3
-0.285 0.366 -0.754 2
-0.19 0.334 -0.884 3
-0.091 0.257 -0.989 2
-0.095 0.21 -1.08 3
-0.094 0.4 -1.073 2
-0.147 0.556 -0.951 3
-0.136 0.367 -1.14 2
-0.002 0.274 -1.304 3
0.071 0.184 -1.299 2
0.165 0.11 -1.203 3
0.262 0.101 -1.089 2
0.34 0.028 -0.978 3
0.431 -0.013 -0.956 2
0.465 -0.007 -0.882 3
0.494 0.001 -0.888 2
0.496 0.038 -0.752 3
0.442 0.064 -0.683 2
0.417 0.094 -0.608 3
0.382 0.1 -0.53 2
0.342 0.107 -0.428 3
0.372 0.101 -0.381 3
0.369 0.078 -0.26 2
0.371 0.048 -0.133 3
0.386 -0.001 -0.081 2
0.408 -0.08 -0.004 3
0.479 -0.23 0.045 2
0.498 -0.304 0.069 3
0.519 -0.396 0.189 2
0.502 -0.505 0.338 3
0.531 -0.634 0.511 2
0.515 -0.747 0.699 3
0.5 -0.903 0.849 2
0.614 -1.015 1.204 3
0.725 -1.155 1.524 2
0.702 -1.242 1.763 3
0.612 -1.2 2.262 2
0.486 -1.142 2.719 3
0.466 -1.116 3.059 2
0.397 -1.156 3.29 3
0.017 -1.113 3.395 2
0.06 -1.028 3.434 3
0.285 -0.972 3.44 2
0.231 -0.94 3.299 3
0.164 -0.878 3.215 2
0.157 -0.84 2.956 3
0.141 -0.797 2.764 3
0.071 -0.767 2.588 2
-0.032 -0.735 2.321 3
-0.049 -0.666 1.996 2
-0.091 -0.66 1.667 3
-0.173 -0.589 1.382 2
-0.213 -0.507 1.026 3
-0.261 -0.445 0.733 2
-0.334 -0.394 0.466 3
-0.35 -0.346 0.137 2
-0.436 -0.298 -0.115 3
-0.459 -0.245 -0.399 2
-0.456 -0.274 -0.702 3
-0.501 -0.307 -0.964 2
-0.565 -0.319 -1.025 3
-0.593 -0.326 -1.181 2
-0.574 -0.341 -1.328 3
-0.523 -0.331 -1.402 2
-0.488 -0.377 -1.469 3
-0.487 -0.357 -1.425 2
-0.419 -0.33 -1.528 3
-0.375 -0.305 -1.498 2
-0.406 -0.268 -1.502 3
-0.641 0.195 -1.347 3
-1.058 0.726 -1.212 2
-0.935 0.562 -1.361 3
-0.712 0.409 -1.653 2
-0.535 0.347 -1.704 3
-0.354 0.198 -1.729 2
-0.181 0.15 -1.738 3
-0.096 0.128 -1.723 2
-0.034 0.115 -1.706 3
-0.309 0.015 -1.697 2
-0.52 -0.106 -1.672 3
0.012 -0.074 -1.49 2
0.209 -0.06 -1.397 3
0.309 -0.054 -1.386 2
0.354 -0.057 -1.364 3
0.385 -0.068 -1.32 2
0.437 -0.066 -1.173 3
0.505 -0.033 -1.11 2
0.481 -0.041 -1.078 3
0.43 -0.006 -1.044 2
0.415 -0.01 -1.028 3
0.337 -0.013 -1.067 2
0.213 -0.096 -1.047 3
0.148 -0.121 -0.959 2
0.14 -0.094 -0.857 3
0.152 -0.196 -0.831 3
0.231 -0.233 -0.768 2
0.215 -0.281 -0.721 3
0.219 -0.291 -0.668 2
0.311 -0.325 -0.515 3
0.34 -0.393 -0.382 2
0.099 -0.442 -0.305 3
0.038 -0.463 -0.246 2
0.349 -0.488 -0.12 3
0.501 -0.465 0.031 2
0.576 -0.431 0.17 3
0.607 -0.459 0.311 2
0.55 -0.437 0.379 3
0.532 -0.41 0.474 2
0.524 -0.384 0.541 3
