# Accelerometer Data File
# Started @Tue Jan 26 20:31:14 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.251 4.271 8.228 0
-1.156 3.823 7.347 20
-0.784 3.156 6.745 20
-0.225 2.629 6.782 20
-0.148 2.359 6.559 20
0.144 2.287 5.431 20
0.179 1.899 4.838 21
0.357 1.412 4.262 20
0.854 0.85 4.195 20
1.126 0.172 5.158 20
0.729 -0.163 6.073 20
0.516 0.18 4.841 20
0.757 -0.044 3.031 21
0.99 -0.326 2.68 20
0.863 0.335 2.218 20
1.154 -0.114 1.589 20
1.571 -1.622 0.13 20
1.358 -1.624 -3.291 20
0.372 -0.125 -3.923 21
-1.11 0.553 -2.537 20
-1.237 0.278 -2.046 20
-0.216 -0.264 -1.634 20
-0.078 -0.736 0.167 20
-0.579 -1.182 0.624 20
-1.931 -3.864 3.015 21
-8.751 -1.637 5.741 20
-2.695 1.372 0.779 20
3.783 -0.297 -1.281 20
2.919 0.113 0.18 20
3.985 0.783 -1.848 20
5.281 0.105 -2.353 21
3.899 0.295 -2.596 20
3.199 0.13 -0.459 20
4.05 -0.361 1.917 20
4.792 -0.689 2.464 20
4.202 -0.555 2.373 21
3.886 -0.724 1.245 20
4.032 -0.606 0.174 20
3.579 -0.72 -0.739 20
2.796 -0.81 -3.306 20
1.594 -1.166 -1.637 20
0.926 -2.289 1.057 21
1.648 -2.94 2.146 20
2.565 -3.409 1.895 20
1.127 -2.654 1.373 20
-0.112 -1.714 0.867 20
-1.015 -1.189 -0.984 20
-1.48 -0.945 -2.537 21
-1.188 -0.902 -4.103 20
-0.657 -1.316 -4.637 20
-0.423 -1.592 -3.492 20
-0.213 -1.599 -2.024 20
-0.534 -1.885 -0.981 20
-0.524 -1.682 -0.626 21
-0.308 -1.569 0.335 20
-0.162 -1.468 -0.161 20
-0.592 -1.231 -0.182 20
-0.324 -1.14 0.674 20
0.54 -0.977 0.197 20
1.341 -0.685 -0.203 21
1.701 -0.118 -0.067 20
1.617 0.067 -0.653 20
1.673 0.263 -1.014 20
1.497 0.021 -0.758 20
1.623 -0.691 0.221 20
2.078 -1.409 1.123 21
1.874 -2.182 0.709 20
1.402 -2.607 -0.023 20
1.376 -3.023 -0.784 20
2.853 -4.083 -1.486 20
4.812 -5.315 0.68 20
4.204 -4.87 2.925 21
1.181 -3.738 1.647 20
-1.493 -2.998 -1.173 20
-2.547 -2.728 -1.978 20
-2.061 -2.936 -0.898 20
-1.476 -3.462 0.9 20
-1.162 -3.969 1.416 21
-1.246 -3.978 0.507 20
-2.484 -3.14 -0.649 20
-2.79 -2.337 -3.551 20
-1.368 -1.579 -6.052 20
0.546 -0.841 -6.876 21
2.831 -0.968 -7.038 20
4.893 -0.979 -8.615 20
3.837 0.364 -9.726 20
1.821 0.478 -8.363 20
-0.272 -0.375 -4.121 20
-1.013 -1.008 -8.033 21
0.075 -0.631 -11.764 20
0.898 -1.445 -5.758 20
0.01 -1.728 1.366 20
0.522 -2.204 8.148 20
1.19 -2.054 10.716 20
0.336 1.058 7.594 21
0.606 2.05 4.314 20
-1.476 1.325 3.396 20
1.355 3.202 -2.096 20
1.295 1.677 0.155 20
0.626 1.194 2.107 20
0.355 0.984 1.472 21
-1.739 0.454 4.274 20
-3.995 1.903 2.775 20
-2.422 2.144 0.695 20
-1.316 2.091 0.755 20
-0.828 1.707 0.684 20
-0.168 1.297 0.035 21
-1.339 1.491 1.228 20
-0.463 2.54 -2.893 20
-1.076 3.054 -4.35 20
-1.527 2.632 -1.526 20
-0.84 2.752 -0.149 21
-0.516 3.835 -1.361 20
0.351 3.329 -2.984 20
-0.099 2.037 -2.435 20
-0.195 1.141 -0.672 20
0.227 1.163 -0.529 20
1.604 0.977 -1.28 21
1.497 0.929 -2.64 20
1.914 0.457 -1.55 20
2.689 0.219 -0.47 20
2.334 0.46 -0.576 20
1.52 0.804 -1.473 20
1.191 0.784 -2.594 21
2.094 0.281 -1.545 20
2.956 0.399 0.874 20
5.483 0.002 1.086 20
5.825 -0.088 2.239 20
1.305 0.616 5.038 20
-1.265 0.186 3.928 21
-1.315 -0.546 1.092 20
-1.947 -0.476 -1.083 20
-3.449 0.588 -1.357 20
-3.231 0.844 0.602 20
-1.849 1.225 0.859 20
-0.062 1.377 0.229 21
0.7 1.243 0.636 20
-0.514 1.179 0.6 20
-0.825 0.552 0.564 20
-0.4 0.042 0.628 20
-0.355 0.085 0.285 20
1.126 0.254 0.386 21
1.658 1.351 -1.732 20
-0.294 3.187 -2.107 20
-2.205 3.26 -2.157 20
-1.616 1.179 -1.118 20
-0.482 0.402 0.858 20
-0.041 -0.321 0.802 21
0.829 0.202 0.369 20
-1.211 2.059 -1.532 20
3.721 -1.304 3.29 20
8.554 -3.166 0.943 20
2.026 -0.217 -4.364 20
1.064 -1.096 -2.248 21
4.269 -3.455 -1.264 20
2.553 -2.81 -3.27 20
-0.45 -1.55 -1.19 20
-2.518 -0.55 0.823 20
-5.496 -1.644 -0.608 21
-5.002 -4.498 2.149 20
-0.101 -6.404 2.339 20
0.526 -7.411 -0.341 20
-2.986 -6.019 0.102 20
-6.065 -2.754 1.332 20
-8.266 -0.062 0.89 21
-8.442 0.336 -1.311 20
-5.758 -1.549 -0.388 20
-4.887 -3.259 0.415 20
-2.544 -8.601 -11.009 20
-1.11 -12.244 -15.322 20
-0.495 -6.245 -2.195 21
1.136 0.709 1.82 20
0.779 3.594 1.884 20
0.114 6.509 1.892 20
-1.358 5.675 1.573 20
-2.112 3.95 -0.034 20
