# Accelerometer Data File
# Started @Tue Jan 26 20:31:54 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-2.196 4.483 7.147 0
-1.236 3.582 5.917 20
-0.597 2.396 5.136 20
-0.333 2.005 5.228 20
-0.494 2.119 5.042 20
0.018 2.082 4.822 20
0.523 1.662 4.128 21
1.174 0.688 4.244 20
1.796 -0.797 5.046 20
2.11 -1.564 6.182 20
2.541 -0.989 5.176 20
2.406 -0.712 4.695 20
0.8 -0.906 5.868 21
0.843 -0.793 4.272 20
1.246 -0.701 1.241 20
0.694 -0.993 -0.247 20
0.722 -0.667 -0.287 20
2.431 -0.232 -0.849 20
3.457 -0.431 -2.903 21
3.243 -0.713 -5.316 20
1.586 0.636 -5.3 20
1.126 1.26 -3.495 20
-0.249 1.239 5.692 20
4.041 -1.908 2.614 20
2.628 -3.054 1.22 21
2.689 -3.26 4.459 20
4.076 -2.688 4.658 20
3.776 -1.669 1.823 20
2.12 -1.521 0.709 20
-1.588 -1.136 1.582 20
-3.393 -1.894 2.752 21
-2.668 -1.497 2.712 20
-0.116 -2.113 1.186 20
0.574 -3.206 1.861 20
-0.224 -2.212 -1.257 20
0.67 -2.392 1.699 20
2.373 -2.679 0.429 21
2.824 -1.973 -1.333 20
1.381 -1.31 -3.174 20
-0.948 -0.815 -1.091 20
-3.098 -0.636 1.777 20
-3.135 -0.801 1.773 20
-0.586 -1.501 0.481 21
0.675 -1.459 -1.193 20
-3.307 0.786 -1.484 20
-2.043 0.112 -2.484 20
-1.657 -0.165 -1.63 20
-1.647 0.191 0.211 20
-0.579 -0.647 0.261 21
0.246 -0.146 -1.206 20
-2.346 0.214 -3.213 20
-3.256 0.639 0.953 20
-0.317 -0.648 2.561 20
2.613 -2.11 1.708 21
1.533 -1.476 -1.183 20
-0.081 -0.076 -2.74 20
0.348 0.278 -3.535 20
2.241 -0.111 -3.912 20
3.384 -0.193 -4.362 20
3.231 -0.061 -4.227 21
2.955 -0.361 -2.716 20
3.319 -0.912 -0.892 20
3.718 -1.155 0.031 20
3.37 -1.125 -0.336 20
2.794 -1.071 -1.259 20
2.1 -1.069 -1.642 21
1.711 -1.346 -1.972 20
2.167 -1.171 -2.232 20
3.408 -1.426 -1.86 20
5.35 -2.351 -2.575 20
6.991 -2.935 -5.961 20
5.809 -1.908 -8.918 21
4.331 -0.568 -10.74 20
4.014 -0.175 -10.507 20
3.83 0.191 -8.952 20
2.186 0.641 -6.202 20
2.355 1.42 -14.212 20
-0.384 1.513 -18.526 21
-3.481 -1.257 0.405 20
-1.71 -3.686 7.35 20
-2.332 -2.694 8.008 20
-3.688 -1.457 6.14 20
-3.498 -0.634 3.027 21
-1.397 0.511 0.48 20
0.775 2.195 -2.586 20
0.634 3.373 -6.811 20
-2.097 4.836 -4.451 20
-3.953 3.582 -3.07 20
5.831 -1.669 -0.855 20
3.616 0.752 2.257 21
-3.534 2.85 -0.769 20
-2.223 -0.021 0.838 20
0.704 -0.015 3.277 20
6.198 -1.029 6.172 20
4.493 0.039 9.0 20
-0.5 -0.787 10.698 21
-1.597 -2.009 9.119 20
-2.45 -2.329 4.27 20
-1.703 -2.142 2.306 20
-1.606 -1.757 0.571 20
-2.357 -1.316 0.725 20
-2.244 -1.568 4.037 21
-5.2 -0.331 3.806 20
-3.641 0.466 3.628 20
-2.49 1.127 4.255 20
-1.6 2.808 -0.609 20
-0.737 3.948 -4.532 20
-0.116 4.59 -4.435 21
0.492 4.461 -0.376 20
-0.246 3.92 1.666 20
0.217 3.847 -0.406 20
-0.832 3.38 -0.479 20
-1.333 2.076 0.598 21
2.51 1.045 1.228 20
3.88 -0.512 -1.532 20
4.326 -0.62 -3.106 20
3.221 -0.215 1.867 20
2.368 0.066 1.715 20
2.38 -0.146 1.235 21
