# Accelerometer Data File
# Started @Tue Jan 26 20:29:40 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-3.258 3.933 6.757 0
-2.825 3.63 6.284 20
-2.288 3.233 6.453 20
-1.858 3.084 5.873 20
-1.651 3.019 5.322 20
-1.322 2.885 4.723 20
-0.72 2.411 4.563 21
-0.499 1.881 4.012 20
0.013 1.609 3.893 20
0.154 1.185 3.931 20
-0.007 1.176 3.382 20
0.392 0.809 2.453 20
0.624 0.348 1.708 21
0.266 0.516 1.136 20
0.38 0.339 1.434 20
0.443 -0.472 1.612 20
0.511 -1.22 2.604 20
0.531 -1.682 4.017 20
0.624 -1.631 4.548 21
1.396 -1.127 3.115 20
2.436 -0.719 0.979 20
2.899 -1.179 -0.347 20
3.06 -1.613 -1.01 20
3.243 -1.76 -0.655 21
2.979 -1.864 0.145 20
3.065 -2.124 0.995 20
3.244 -2.114 1.652 20
2.333 -1.651 1.819 20
1.261 -0.985 1.001 20
0.764 -0.57 -0.058 21
0.582 -0.336 -0.977 20
0.092 -0.016 -1.364 20
-0.558 0.386 -2.541 20
-0.936 0.328 0.183 20
-1.618 0.55 -0.343 21
-2.312 0.941 1.23 20
-3.767 1.373 2.51 20
-3.809 1.352 2.692 20
-4.391 1.775 -0.047 20
-6.147 2.979 1.078 20
-4.178 1.985 3.088 21
-4.032 0.969 1.351 20
-2.825 -2.065 0.643 20
0.033 -4.812 6.128 20
-3.805 -1.606 2.212 20
-2.443 -5.194 -4.422 21
-2.945 -4.901 -5.661 20
-5.485 -3.782 -4.938 20
-7.754 -3.203 -2.06 20
-8.219 -3.253 0.81 20
-6.056 -3.989 2.484 20
-3.602 -3.447 2.833 21
-2.009 -2.7 1.588 20
-0.105 -2.604 0.202 20
0.804 -2.361 -1.479 20
1.226 0.466 -8.222 20
1.295 1.943 -11.239 20
1.014 2.404 -5.657 21
2.793 1.657 -1.486 20
3.354 1.166 -2.17 20
1.611 1.336 -0.666 20
0.881 1.448 -0.877 20
1.558 1.157 -1.102 21
2.01 0.823 0.51 20
2.872 0.816 1.968 20
3.053 0.327 3.364 20
2.902 -0.11 2.888 20
3.643 -0.532 1.474 20
5.176 -0.643 0.334 21
6.381 -0.824 0.113 20
4.785 0.531 -0.589 20
2.532 1.03 1.224 20
3.193 0.992 3.113 20
3.779 0.828 2.342 21
