# Accelerometer Data File
# Started @Tue Jan 26 20:14:11 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.4 4.578 6.531 0
-0.99 4.072 6.3 20
-0.497 3.68 6.041 20
-0.283 3.536 5.603 20
0.005 3.217 5.068 20
0.364 2.798 4.18 20
0.925 2.279 3.262 20
1.197 1.913 3.216 21
1.276 1.683 3.437 20
1.277 1.461 3.281 20
1.344 1.244 2.897 20
1.364 0.988 2.437 20
1.282 0.822 2.223 20
1.149 0.871 2.115 21
1.043 0.92 1.936 20
0.863 0.91 1.395 20
0.74 0.659 1.096 20
0.757 0.36 0.775 20
0.72 0.206 0.792 20
0.777 -0.019 0.713 20
0.999 -0.241 0.316 21
1.147 -0.4 0.265 20
0.655 -0.537 0.56 20
0.484 -0.408 0.709 20
-0.342 -0.237 0.314 20
-1.498 -0.58 0.414 20
-0.792 -0.373 1.177 21
-0.628 1.276 1.402 20
-0.941 1.728 0.466 20
-0.053 0.619 0.068 20
-0.266 -0.606 -0.438 20
-0.961 -0.873 -1.446 20
0.557 -0.387 1.155 20
-0.242 0.822 1.268 21
2.382 -2.11 1.784 20
7.462 -6.144 -0.543 20
8.755 -4.979 7.386 20
9.298 -5.167 11.0 20
7.075 -3.771 6.813 20
4.02 -2.111 2.813 20
3.206 -0.138 -1.624 21
1.005 1.841 -2.778 20
0.202 0.07 -3.102 20
3.687 -1.87 -1.015 20
6.802 -3.798 -0.267 20
4.102 -3.625 -2.487 20
1.572 -2.122 -5.125 21
0.154 -1.992 -6.184 20
0.953 -3.927 -6.374 20
2.257 -5.85 -6.526 20
2.077 -6.963 -6.186 20
1.921 -7.517 -5.371 20
2.559 -7.686 -3.715 21
1.742 -7.357 -2.024 20
1.497 -7.089 -0.976 20
1.765 -6.676 0.397 20
2.022 -5.98 0.126 20
1.815 -4.722 -2.039 20
0.769 -4.63 0.18 20
1.706 -7.284 8.811 21
-0.622 -6.463 12.397 20
-5.859 -3.611 9.027 20
-13.407 0.682 4.71 20
-18.448 6.048 2.522 20
-17.222 9.548 5.103 20
-11.462 10.603 8.551 21
-5.215 10.034 8.123 20
-2.565 10.014 3.891 20
-2.16 10.338 -2.866 20
-0.674 9.83 -7.771 20
0.231 8.606 -5.87 20
0.635 6.29 -1.931 21
0.998 3.887 -0.015 20
2.867 0.583 4.123 20
4.87 -3.359 9.09 20
5.245 -6.917 9.707 20
4.028 -9.284 8.286 20
3.671 -11.598 6.526 20
7.62 -16.495 1.221 21
9.665 -16.777 -3.874 20
7.452 -15.685 -2.81 20
2.589 -15.49 -2.596 20
0.092 -14.786 -4.809 20
-1.41 -12.014 -8.745 20
-3.289 -8.532 -9.768 21
-3.187 -6.853 -8.388 20
-2.609 -5.102 -9.619 20
-3.545 -1.914 -14.407 20
-4.546 1.592 -17.733 20
-4.618 4.563 -18.115 20
-5.628 6.961 -24.641 21
-7.853 6.293 -21.696 20
-5.738 3.915 -7.651 20
-12.022 16.802 -20.833 20
16.118 -3.319 -30.407 20
21.78 -9.724 -8.004 20
12.05 -10.742 22.289 20
6.166 -6.785 40.222 21
9.771 -2.174 18.131 20
3.527 3.462 0.903 20
-10.653 12.221 -11.919 20
-4.918 12.652 -19.564 20
8.278 5.462 -3.049 20
10.337 3.73 16.423 21
3.967 7.462 14.706 20
-3.711 10.448 0.513 20
-7.559 9.959 -2.702 20
-14.823 8.267 6.434 20
-21.465 4.161 4.424 20
7.718 5.64 -13.841 20
2.68 8.394 8.673 21
-0.633 5.81 -0.647 20
1.171 8.534 -15.958 20
3.723 -2.369 10.456 20
5.418 -7.72 -0.562 20
1.5 -6.797 -11.128 20
3.87 -9.772 -1.42 21
6.971 -8.993 -1.711 20
4.612 -4.327 0.678 20
5.067 -0.628 -8.811 20
3.89 2.411 -10.683 20
0.301 2.959 -1.474 20
-2.977 2.794 5.852 20
-3.026 2.433 6.953 21
-2.48 2.468 4.817 20
-3.208 2.984 4.195 20
-4.744 2.468 3.713 20
-7.173 1.551 0.574 20
-9.341 1.139 -1.1 20
-9.601 0.208 -0.056 21
-9.633 -0.166 -0.238 20
-7.041 -0.401 -5.554 20
0.483 -2.737 -9.537 20
9.811 -6.913 -0.809 20
8.097 -5.122 2.14 20
3.753 -2.829 0.096 21
4.441 -4.286 -0.926 20
5.34 -5.108 -0.575 20
5.259 -5.699 -21.387 20
-1.54 3.186 -4.818 20
2.231 1.173 6.852 20
7.229 5.913 -2.294 20
3.697 8.171 2.516 21
-3.59 7.591 6.386 20
-8.964 6.009 13.194 20
-8.856 2.34 18.985 20
-5.728 -3.346 21.277 20
-5.949 4.195 -28.099 20
3.502 3.347 -14.024 21
2.272 0.834 5.783 20
-1.378 1.626 8.503 20
