# Accelerometer Data File
# Started @Tue Jan 26 20:20:14 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.564 7.182 -19.18 20
-4.057 5.325 -9.69 20
-6.597 5.012 2.81 20
-7.67 2.463 11.644 21
-3.441 -7.262 15.149 20
1.212 -5.729 0.759 20
2.285 -3.162 -4.74 20
-5.348 -3.609 -7.722 20
-1.691 -6.678 -21.356 20
0.521 -11.821 0.782 21
-6.078 -13.924 6.649 20
-11.996 -17.348 -1.002 20
-11.129 -12.569 4.578 20
-6.745 -0.015 7.572 20
0.015 5.425 1.67 21
4.952 6.506 1.354 20
5.069 12.718 3.33 20
4.918 16.165 -5.068 20
4.78 13.014 -5.71 20
5.936 11.335 -3.259 20
4.325 14.72 -0.747 21
3.976 14.947 2.58 20
5.243 8.744 3.704 20
0.372 5.636 7.921 20
-2.404 3.459 7.392 20
-1.064 -0.238 -8.852 20
-6.449 -9.243 -17.043 21
-11.026 -15.942 2.831 20
19.386 -17.498 8.36 20
-4.863 -13.1 7.86 20
-17.263 1.804 -6.005 20
-8.776 5.202 -1.023 20
-2.526 -8.261 3.89 21
5.638 -13.353 -1.159 20
11.027 -11.645 0.857 20
9.579 -5.146 -0.784 20
5.909 -1.079 -4.153 20
0.424 -1.76 -11.296 21
-6.296 2.859 -16.399 20
-8.646 11.289 -13.11 20
-3.276 14.716 -1.472 20
-1.195 8.854 15.674 20
1.297 3.34 12.172 20
3.239 -0.837 -7.783 21
1.757 -4.604 -10.513 20
3.785 -8.776 -0.055 20
4.312 -14.951 9.947 20
-2.59 -12.839 6.999 20
-12.057 -11.934 1.073 20
-12.19 -18.595 0.066 21
-4.915 -7.318 -0.7 20
-3.576 11.419 6.175 20
3.447 11.68 4.411 20
5.415 9.814 3.389 20
0.553 13.067 -2.021 21
0.987 12.361 0.866 20
0.828 10.608 1.439 20
-1.757 10.379 -2.744 20
-1.853 10.596 -1.724 20
0.072 9.855 2.1 20
2.671 9.2 4.641 21
5.946 7.488 6.587 20
6.365 6.149 5.894 20
6.355 5.635 -7.71 20
9.353 -2.219 -6.296 20
0.169 -19.809 23.524 20
-23.468 -29.778 -7.528 21
-8.019 -17.22 -8.055 20
-1.295 0.132 -1.194 20
-1.088 -0.473 8.812 20
8.707 -7.189 5.787 20
18.01 -11.657 6.457 20
18.738 -11.233 9.278 21
8.152 -4.241 -15.002 20
-3.789 2.395 -25.527 20
-5.262 3.926 -7.245 20
-5.238 4.753 -9.509 20
-5.036 5.237 -8.489 21
-2.109 9.099 -0.65 20
-3.211 13.514 6.845 20
3.993 4.705 4.988 20
3.969 5.895 -0.333 20
2.132 -0.909 -5.133 20
8.503 -12.221 5.094 21
12.46 -17.234 7.601 20
0.717 -15.871 7.83 20
-4.558 -18.684 7.099 20
-0.896 -10.673 1.945 20
-6.091 1.026 4.403 20
-7.084 5.591 4.516 21
-2.137 9.126 0.303 20
-0.418 14.392 -2.555 20
-1.409 17.386 -1.843 20
-3.601 16.826 -0.266 20
-4.53 13.714 0.064 21
-2.38 9.366 -1.069 20
-0.594 8.263 0.721 20
0.758 7.816 -0.26 20
-0.848 8.378 0.302 20
