# Accelerometer Data File
# Started @Tue Jan 26 20:39:28 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.749 3.896 6.106 0
-0.445 3.487 6.94 20
-0.09 3.238 6.688 20
0.562 2.931 5.269 20
0.961 2.711 4.399 20
1.294 2.106 3.817 20
1.145 1.464 3.955 21
0.513 1.54 3.641 20
0.813 1.224 2.52 20
1.398 0.808 2.775 20
1.847 0.49 3.351 20
2.518 0.631 2.393 20
2.154 0.32 1.382 21
2.424 -0.427 1.649 20
3.623 -1.9 -0.236 20
4.542 -2.117 2.079 20
3.467 -1.619 4.232 20
0.947 -0.763 0.51 20
-0.818 0.574 4.564 21
0.942 -0.289 4.972 20
0.346 -0.288 5.126 20
-3.155 -1.635 3.162 20
-0.959 -3.284 1.992 20
4.696 -3.148 2.177 20
1.637 -2.742 1.452 21
-2.305 -1.116 1.083 20
-2.478 -0.938 0.272 20
-2.323 -1.053 -0.02 20
-2.763 -0.974 0.63 20
-3.383 -1.005 0.571 21
-3.726 -0.622 0.21 20
-3.975 0.198 0.073 20
-3.159 0.318 -0.835 20
-2.8 0.461 -0.801 20
-2.882 0.859 -0.624 20
-2.645 1.051 -1.057 20
-1.883 1.161 -0.762 21
-1.041 0.978 -0.241 20
-1.086 1.021 0.349 20
-0.44 1.408 0.754 20
1.34 1.17 0.381 20
2.703 1.023 0.479 21
3.215 0.817 1.039 20
2.997 0.295 1.407 20
3.378 -0.755 2.139 20
4.369 -2.432 2.816 20
4.835 -4.285 1.866 20
6.111 -6.217 -1.634 21
8.617 -6.861 -7.453 20
10.582 -6.049 -15.532 20
11.184 -4.535 -18.791 20
9.55 -3.991 -17.088 20
6.935 -3.975 -15.369 20
3.436 -3.127 -14.763 21
0.924 -2.372 -14.664 20
-3.275 -0.66 -16.3 20
-15.691 7.608 -22.934 20
-15.288 6.673 -20.244 20
-5.375 2.118 -11.228 20
1.668 -0.665 1.137 21
4.311 -1.823 9.746 20
4.998 -1.574 10.691 20
1.95 0.31 6.103 20
-4.628 2.749 -0.299 20
-6.933 6.014 -7.41 20
-2.258 4.078 -3.922 21
5.34 1.275 3.073 20
9.168 2.241 5.922 20
7.07 3.297 2.781 20
2.631 3.744 -2.754 20
-1.488 4.128 -2.714 21
-0.906 3.42 -1.045 20
1.736 1.651 1.602 20
1.998 0.662 3.341 20
1.371 0.824 0.83 20
0.844 0.567 -0.05 20
0.373 -0.224 1.799 21
-0.534 -0.333 1.208 20
-0.537 -0.479 0.179 20
0.907 -0.545 0.698 20
2.314 -0.861 -3.445 20
1.656 -0.346 -0.134 20
1.13 -0.764 4.179 21
1.308 -0.468 1.355 20
1.136 -0.061 -0.219 20
0.816 -0.145 -0.148 20
