# Accelerometer Data File
# Started @Tue Jan 26 20:43:22 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-2.453 1.922 -0.994 20
-1.5 0.201 -0.635 20
-0.764 -2.172 0.298 20
-1.127 -3.902 -0.442 21
-2.282 -4.749 1.705 20
-2.166 -6.391 -1.051 20
-3.047 -4.486 -0.233 20
-3.928 -2.378 -0.791 20
-2.987 -3.127 -1.745 21
-1.451 -2.15 -1.184 20
-1.399 2.371 0.136 20
-1.526 4.105 -0.801 20
-0.696 4.028 -0.814 20
0.608 2.545 -0.081 20
-0.787 -1.013 -0.084 21
-1.307 -0.802 -2.378 20
0.252 -0.653 0.062 20
-0.038 0.522 -0.905 20
0.161 1.448 -0.683 20
0.928 1.495 2.334 20
0.186 1.05 -0.287 21
-0.312 0.217 -0.914 20
-0.397 -0.472 -0.747 20
-0.028 -0.05 -0.439 20
-0.176 -0.071 -0.025 20
-0.451 -0.182 -0.003 20
-0.706 0.217 0.137 21
-0.519 0.415 -0.016 20
-0.376 0.205 -0.165 20
-0.515 -0.021 -0.17 20
-0.647 -0.11 -0.153 20
-0.679 0.601 -0.317 20
-0.43 -0.314 0.54 21
-0.525 0.406 -0.24 20
-0.345 -0.718 -0.615 20
-0.425 -2.192 0.757 20
-0.454 1.129 -0.892 20
1.117 1.874 -0.833 20
1.478 0.869 -0.728 21
1.556 0.698 -1.492 20
1.541 -1.494 -2.308 20
0.694 -1.429 -1.273 20
1.095 -0.684 -0.197 20
1.356 -0.961 -0.096 20
0.962 -1.727 -0.903 21
1.004 -1.837 -0.981 20
1.276 -1.278 -1.021 20
1.459 0.265 0.098 20
1.632 1.472 -0.446 20
0.255 1.896 -2.188 21
-1.408 1.98 -2.228 20
-2.634 2.576 -0.522 20
-1.517 2.656 0.37 20
1.292 1.794 -0.207 20
2.972 1.239 -0.865 20
2.569 1.734 -0.762 21
1.467 2.304 -0.149 20
0.938 2.953 -0.489 20
0.877 3.21 -1.014 20
0.252 2.91 -0.738 20
-1.018 3.081 -0.265 20
-1.958 3.978 0.039 21
-2.346 4.546 0.179 20
-2.2 4.343 0.187 20
-1.779 4.2 0.231 20
-0.944 4.054 0.647 20
-0.414 3.776 0.796 20
-0.075 3.45 0.477 21
0.259 3.251 0.048 20
0.438 2.592 -0.512 20
1.145 1.934 -1.356 20
1.726 1.165 -2.048 20
2.153 -0.07 -3.307 20
2.199 -1.369 -3.476 21
1.304 -1.84 -2.277 20
0.326 -1.857 -1.993 20
-0.592 -0.901 -1.352 20
-0.899 0.857 -0.251 20
-1.242 1.827 0.461 20
-1.56 1.785 1.001 21
-1.376 1.643 1.371 20
-0.928 1.377 1.544 20
-0.783 0.905 1.0 20
-0.705 0.295 -0.66 20
0.169 -0.768 -1.789 20
1.04 -1.543 -2.062 21
1.544 -1.559 -1.606 20
1.541 -1.166 -1.217 20
0.996 -0.476 -0.806 20
0.467 0.067 -0.189 20
0.41 0.142 0.215 20
0.373 0.115 0.549 21
0.161 0.097 0.731 20
0.026 0.122 0.624 20
-0.038 -0.006 0.35 20
-0.234 -0.159 0.143 20
-0.338 -0.44 0.184 21
-0.49 -0.696 0.603 20
-0.714 -0.697 0.422 20
-0.509 -1.048 0.067 20
-0.014 -1.736 0.354 20
0.264 -1.783 0.575 20
0.35 -1.52 0.526 21
0.462 -1.411 0.741 20
0.262 -0.97 1.15 20
-0.181 -0.38 0.897 20
-0.439 -0.07 0.859 20
-0.179 -0.022 0.62 20
0.437 -0.479 0.42 21
1.133 -1.397 0.865 20
1.504 -2.367 0.699 20
1.408 -3.579 0.588 20
1.107 -4.519 0.863 20
1.044 -4.527 1.367 20
1.045 -3.483 1.571 21
1.258 -1.815 1.345 20
2.236 -1.3 1.351 20
2.538 -1.273 1.002 20
1.907 -1.251 0.723 20
1.285 -1.493 0.862 20
0.197 -1.455 0.793 21
-0.913 -1.336 1.136 20
-1.6 -1.403 1.199 20
-2.308 -1.025 0.467 20
-2.28 -0.733 0.302 20
-1.798 -0.621 0.78 20
-0.781 -0.61 0.758 21
0.294 -0.782 0.307 20
1.599 -1.26 0.315 20
2.582 -1.447 0.113 20
2.272 -0.83 -1.091 20
1.758 0.067 -1.599 20
1.304 1.028 0.852 21
0.169 2.126 2.856 20
-0.776 2.097 2.699 20
-0.964 0.911 1.74 20
-1.622 -0.95 0.828 20
-2.497 -2.493 1.172 20
-2.618 -2.427 0.725 21
-2.037 -1.54 -1.194 20
-0.617 -1.209 -2.004 20
-1.112 -0.698 -0.684 20
-1.031 0.04 -0.342 20
1.005 0.773 -0.414 20
2.041 1.858 0.522 21
1.636 2.34 0.857 20
2.003 1.755 0.356 20
3.364 0.84 0.852 20
2.896 0.318 1.41 20
0.338 0.45 0.881 20
-0.434 0.062 0.35 21
-1.169 0.006 0.011 20
-1.606 0.644 -0.015 20
-0.542 0.077 0.18 20
-0.497 -0.613 -0.117 20
-0.193 -0.709 -1.199 20
0.66 -1.207 -1.59 21
0.514 -0.996 -0.385 20
0.301 -0.002 0.463 20
-0.06 0.864 -0.009 20
-0.162 1.349 -0.15 20
0.293 1.667 -0.304 21
1.281 1.53 -0.314 20
1.651 1.431 -0.177 20
1.784 1.443 -0.209 20
2.017 0.993 -0.886 20
2.285 0.456 -1.705 20
2.197 0.011 -1.886 21
1.048 -0.286 -1.21 20
-0.656 0.341 -0.317 20
-1.056 0.992 0.078 20
-1.383 1.098 -0.095 20
-1.042 1.102 -0.202 20
-0.203 0.834 0.24 21
0.056 1.122 0.358 20
0.529 1.589 0.23 20
0.931 1.536 -0.342 20
0.926 1.419 -1.181 20
1.045 1.366 -0.94 20
0.768 1.595 -0.022 21
0.609 1.828 0.516 20
0.958 1.548 0.686 20
1.582 0.796 0.141 20
1.764 0.333 -0.431 20
1.566 0.317 -0.517 20
1.392 0.533 -0.638 21
1.307 0.794 -0.722 20
1.409 1.222 -0.683 20
1.397 1.539 -0.659 20
1.288 1.458 -0.268 20
