# Accelerometer Data File
# Started @Tue Jan 26 20:38:42 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-2.797 5.64 7.137 0
-1.989 4.568 6.574 20
-1.559 3.373 5.283 20
-0.591 2.644 4.144 20
1.347 1.868 4.387 20
2.605 2.328 4.423 20
3.511 2.843 4.248 20
3.141 1.783 3.301 21
2.919 -0.425 3.288 20
8.782 -2.183 -0.239 20
9.538 -0.32 0.601 20
5.928 -0.932 1.614 20
3.833 -1.932 2.636 21
3.635 -2.105 -0.114 20
2.443 -2.186 0.491 20
-1.467 -1.691 0.395 20
-4.05 0.827 3.475 20
0.304 -2.631 5.913 20
1.711 -2.456 5.595 21
-4.273 -0.231 1.595 20
-3.02 -2.205 0.81 20
0.97 -3.45 4.332 20
-0.172 -3.584 6.498 20
-2.998 -2.507 3.714 20
-4.333 -1.504 1.829 21
-4.361 -1.397 2.502 20
-3.552 -1.115 2.795 20
-4.102 -0.531 0.472 20
-4.662 0.567 -4.151 20
-5.254 3.192 -3.109 20
-2.342 2.463 -1.882 21
-0.672 0.671 -0.012 20
0.709 -0.057 0.918 20
0.701 0.181 1.682 20
-1.125 1.314 1.41 20
-3.121 1.689 -1.043 21
-2.796 1.923 -1.208 20
-0.298 1.272 0.36 20
2.171 0.291 2.133 20
2.825 0.512 2.068 20
3.267 0.46 1.019 20
3.876 -0.186 1.298 21
4.926 -1.323 2.218 20
5.563 -2.536 1.824 20
4.574 -3.61 0.32 20
4.174 -4.388 -2.926 20
5.971 -4.747 -7.529 20
8.545 -5.443 -8.294 21
10.243 -6.416 -7.777 20
11.336 -7.506 -9.576 20
10.388 -8.085 -12.182 20
6.042 -7.462 -17.356 20
-1.266 -0.558 -40.78 21
-3.102 3.974 -34.796 20
-0.416 -3.289 -10.296 20
0.091 -6.131 6.542 20
-0.687 -4.272 6.069 20
-1.905 -0.801 0.232 20
-1.18 -1.124 3.018 21
-0.846 1.014 3.934 20
2.23 2.651 -0.658 20
2.388 2.907 2.725 20
2.691 4.649 1.512 20
3.693 5.256 5.052 20
2.742 5.407 1.065 21
1.909 7.035 -5.218 20
1.013 5.275 -0.707 20
-2.103 3.569 1.997 20
-6.875 -1.61 9.296 20
-1.031 -1.65 -5.274 20
0.807 0.547 -7.098 21
1.054 -1.274 2.685 20
0.785 -0.575 2.237 20
1.521 -0.8 1.77 20
-0.1 0.001 -0.126 20
-2.307 -0.222 -0.405 20
-0.562 -0.454 0.118 21
0.543 -0.644 -0.775 20
2.606 -1.259 -1.926 20
